ID;Player;Age;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Pos;3P Dependency;2P Dependency;FT Dependency;PTS/MP;AST/MP;TRB/MP;STL/MP;BLK/MP;AST/TOV;Rebound Ratio;PTS/FGA;FT Rate;Usage Rate;PIE
18;Anthony Davis;29.5;10.5;10.5;39.8;10.0;17.2;0.6;0.2;1.0;0.2;9.9;16.2;0.6;0.6;5.0;6.0;0.8;2.7;12.1;14.8;3.3;0.9;2.4;2.2;3.4;25.2;C;0.024;0.786;0.198;0.633;0.083;0.372;0.023;0.06;1.5;1.41;1.465;0.349;0.554;36.2
19;Anthony Edwards;21.0;9.0;9.0;39.4;9.7;20.5;0.5;3.2;8.4;0.4;6.5;12.0;0.5;0.6;5.5;6.6;0.8;0.8;4.6;5.4;4.9;1.5;1.3;2.5;2.9;28.1;SG;0.342;0.463;0.196;0.713;0.124;0.137;0.038;0.033;1.96;0.6;1.371;0.322;0.657;26.8
20;Anthony Lamb;25.0;6.0;0.0;5.2;0.3;0.8;0.4;0.2;0.7;0.2;0.2;0.2;1.0;0.5;0.0;0.0;0.0;0.2;0.8;1.0;0.0;0.2;0.2;0.3;0.5;0.8;SF;0.75;0.5;0.0;0.154;0.0;0.192;0.038;0.038;0.0;0.167;1.0;0.0;0.212;1.4
21;Armoni Brooks;23.0;4.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;1.0;0.0;1.0;PG;0.0;0.0;0.0;0.5;0.0;0.25;0.0;0.0;0.0;0.125;1.0;0.0;1.0;-0.5
22;Austin Reaves;24.5;10.5;10.5;35.5;5.8;12.4;0.5;1.9;5.4;0.4;3.9;7.0;0.6;0.5;3.3;3.7;0.9;1.2;3.0;4.1;4.1;1.0;0.4;1.2;2.0;16.8;SG;0.339;0.464;0.196;0.473;0.115;0.115;0.028;0.011;3.417;0.4;1.355;0.298;0.429;18.3
23;Austin Rivers;29.5;4.5;0.0;16.6;1.3;2.8;0.5;0.6;2.0;0.3;0.6;0.8;0.8;0.6;0.1;0.1;0.5;0.2;0.8;1.0;0.8;0.8;0.1;0.6;1.6;3.4;SG;0.529;0.353;0.029;0.205;0.048;0.06;0.048;0.006;1.333;0.222;1.214;0.036;0.207;4.0
24;Ayo Dosunmu;22.0;5.0;1.0;17.2;1.6;5.2;0.3;0.6;2.6;0.2;1.0;2.6;0.4;0.4;0.2;0.2;1.0;0.8;1.8;2.6;2.2;0.2;0.0;0.6;1.0;4.0;SG;0.45;0.5;0.05;0.233;0.128;0.151;0.012;0.0;3.667;0.52;0.769;0.038;0.342;4.8
25;Bam Adebayo;25.0;15.3;15.3;36.5;7.6;14.7;0.5;0.1;0.7;0.1;7.4;14.0;0.5;0.5;3.2;4.2;0.8;2.3;6.7;9.1;3.4;0.8;0.5;2.1;3.1;18.4;C;0.016;0.804;0.174;0.504;0.093;0.249;0.022;0.014;1.619;0.588;1.252;0.286;0.511;21.9
26;Ben Sheppard;22.0;17.0;2.0;19.7;1.8;4.2;0.4;1.1;2.9;0.4;0.7;1.2;0.6;0.6;0.4;0.5;0.8;0.6;2.4;3.0;1.0;0.5;0.1;0.6;1.9;5.2;SG;0.635;0.269;0.077;0.264;0.051;0.152;0.025;0.005;1.667;0.176;1.238;0.119;0.255;6.7
27;Bismack Biyombo;29.5;8.5;0.0;9.7;1.2;2.0;0.6;0.0;0.0;0.0;1.2;2.0;0.6;0.6;0.7;1.5;0.5;1.1;1.6;2.8;0.7;0.0;0.8;0.8;1.8;3.1;C;0.0;0.774;0.226;0.32;0.072;0.289;0.0;0.082;0.875;0.318;1.55;0.75;0.357;4.9
28;Blake Griffin;32.5;1.5;0.0;9.2;0.5;2.2;0.1;0.5;1.2;0.2;0.0;1.0;0.0;0.2;0.5;0.5;0.5;1.0;1.0;2.0;1.0;0.2;0.2;0.2;1.8;2.0;PF;0.75;0.0;0.25;0.217;0.109;0.217;0.022;0.022;5.0;1.333;0.909;0.227;0.285;3.5
29;Boban Marjanovic;33.0;3.0;0.0;2.0;0.3;1.3;0.2;0.0;0.0;0.0;0.3;1.3;0.2;0.2;0.7;0.7;1.0;0.0;1.0;1.0;0.0;0.3;0.0;0.7;0.0;1.3;C;0.0;0.462;0.538;0.65;0.0;0.5;0.15;0.0;0.0;0.333;1.0;0.538;1.154;0.9
