ID;Player;Age;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Pos;3P Dependency;2P Dependency;FT Dependency;PTS/MP;AST/MP;TRB/MP;STL/MP;BLK/MP;AST/TOV;Rebound Ratio;PTS/FGA;FT Rate;Usage Rate;PIE
18;Amir Coffey;25.0;63.0;17.3;18.7;2.2;4.9;0.4;0.9;2.4;0.3;1.3;2.5;0.5;0.5;1.1;1.3;0.8;0.4;1.6;2.0;1.3;0.4;0.2;0.5;1.3;6.3;SG;0.429;0.413;0.175;0.337;0.07;0.107;0.021;0.011;2.6;0.032;1.286;0.265;0.319;6.8
19;Andre Drummond;28.6;58.4;16.4;18.0;3.4;5.8;0.6;0.0;0.0;0.0;3.4;5.8;0.6;0.6;1.3;2.4;0.5;3.1;5.8;8.8;1.2;0.9;0.8;1.4;2.3;8.0;C;0.0;0.85;0.162;0.444;0.067;0.489;0.05;0.044;0.857;0.152;1.379;0.414;0.459;14.9
20;Andre Iguodala;38.0;31.0;0.0;19.5;1.5;3.9;0.4;0.5;2.4;0.2;0.9;1.5;0.6;0.4;0.5;0.6;0.8;0.7;2.5;3.2;3.7;0.9;0.7;0.9;1.1;4.0;SF;0.375;0.45;0.125;0.205;0.19;0.164;0.046;0.036;4.111;0.103;1.026;0.154;0.26;9.1
21;Andre Jackson Jr.;22.0;57.0;8.0;10.0;0.9;1.8;0.5;0.3;0.8;0.4;0.6;0.9;0.6;0.6;0.1;0.2;0.7;0.8;1.2;2.0;0.9;0.3;0.1;0.5;1.6;2.2;SG;0.409;0.545;0.045;0.22;0.09;0.2;0.03;0.01;1.8;0.035;1.222;0.111;0.239;4.0
22;Andrew Nembhard;23.5;71.5;55.0;26.3;3.8;8.2;0.5;1.0;3.0;0.4;2.8;5.2;0.5;0.5;0.7;0.8;0.8;0.5;1.8;2.4;4.3;0.9;0.2;1.6;2.2;9.4;SG;0.319;0.596;0.074;0.357;0.163;0.091;0.034;0.008;2.687;0.032;1.146;0.098;0.386;11.0
23;Andrew Wiggins;27.0;60.3;56.3;30.4;6.1;13.1;0.5;2.0;5.1;0.4;4.2;8.0;0.5;0.5;1.7;2.6;0.7;1.4;3.2;4.7;2.1;0.9;0.7;1.3;2.4;15.8;SF;0.38;0.532;0.108;0.52;0.069;0.155;0.03;0.023;1.615;0.076;1.206;0.198;0.511;14.9
24;Anfernee Simons;23.0;55.0;46.0;33.0;7.2;16.4;0.4;3.3;8.6;0.4;3.9;7.8;0.5;0.5;2.6;2.9;0.9;0.4;2.6;2.9;4.5;0.6;0.1;2.3;2.1;20.3;SG;0.488;0.384;0.128;0.615;0.136;0.088;0.018;0.003;1.957;0.055;1.238;0.177;0.605;16.7
25;Anthony Black;20.0;69.0;33.0;16.9;1.7;3.6;0.5;0.5;1.4;0.4;1.1;2.2;0.5;0.5;0.7;1.2;0.6;0.5;1.5;2.0;1.3;0.5;0.3;0.8;1.6;4.6;PG;0.326;0.478;0.152;0.272;0.077;0.118;0.03;0.018;1.625;0.029;1.278;0.333;0.292;5.5
26;Anthony Davis;29.0;57.3;56.7;34.9;9.5;17.2;0.6;0.3;1.5;0.2;9.1;15.7;0.6;0.6;5.4;6.9;0.8;3.1;8.6;11.7;3.1;1.2;2.2;2.1;2.4;24.6;C;0.037;0.74;0.22;0.705;0.089;0.335;0.034;0.063;1.476;0.204;1.43;0.401;0.64;31.5
27;Anthony Edwards;21.0;76.7;76.3;35.1;8.5;18.8;0.5;2.7;7.5;0.4;5.9;11.4;0.5;0.5;4.2;5.2;0.8;0.7;4.6;5.3;4.4;1.5;0.6;3.0;2.2;23.9;SG;0.339;0.494;0.176;0.681;0.125;0.151;0.043;0.017;1.467;0.069;1.271;0.277;0.686;21.4
28;Anthony Gill;30.0;51.0;3.7;10.1;1.4;2.6;0.5;0.2;0.6;0.3;1.2;2.0;0.6;0.6;0.8;1.0;0.8;0.7;1.1;1.8;0.6;0.2;0.2;0.4;1.2;3.7;PF;0.162;0.649;0.216;0.366;0.059;0.178;0.02;0.02;1.5;0.035;1.423;0.385;0.341;4.7
29;Anthony Lamb;25.0;62.0;4.0;19.3;2.4;5.1;0.5;1.2;3.2;0.4;1.2;1.9;0.7;0.6;0.7;1.0;0.8;0.9;2.6;3.5;1.5;0.5;0.3;0.9;2.2;6.7;SF;0.537;0.358;0.104;0.347;0.078;0.181;0.026;0.016;1.667;0.056;1.314;0.196;0.334;8.6
30;Armoni Brooks;23.0;47.5;9.5;16.2;2.0;5.8;0.3;1.5;4.9;0.3;0.5;0.8;0.6;0.5;0.4;0.4;0.8;0.4;1.6;2.0;1.2;0.5;0.2;0.6;1.4;5.8;SG-PG;0.776;0.172;0.069;0.358;0.074;0.123;0.031;0.012;2.0;0.042;1.0;0.069;0.406;5.3
31;Ausar Thompson;21.0;63.0;38.0;25.1;3.7;7.6;0.5;0.3;1.8;0.2;3.3;5.8;0.6;0.5;1.1;1.9;0.6;2.0;4.3;6.4;1.9;1.1;0.9;1.3;2.8;8.8;SF;0.102;0.75;0.125;0.351;0.076;0.255;0.044;0.036;1.462;0.1;1.158;0.25;0.388;13.0
32;Austin Reaves;24.0;69.0;32.7;28.0;4.0;8.1;0.5;1.4;3.7;0.4;2.6;4.4;0.6;0.6;2.7;3.1;0.9;0.6;2.8;3.5;3.6;0.6;0.3;1.4;1.7;12.1;SG;0.347;0.43;0.223;0.432;0.129;0.125;0.021;0.011;2.571;0.049;1.494;0.383;0.388;14.1
33;Austin Rivers;29.5;59.5;14.0;20.8;2.0;4.6;0.4;1.0;2.9;0.3;1.0;1.8;0.6;0.5;0.6;0.8;0.7;0.2;1.4;1.6;1.4;0.6;0.1;0.6;1.6;5.4;SG;0.556;0.37;0.111;0.26;0.067;0.077;0.029;0.005;2.333;0.027;1.174;0.174;0.267;5.7
34;Avery Bradley;31.0;62.0;45.0;22.7;2.4;5.6;0.4;1.3;3.4;0.4;1.1;2.3;0.5;0.5;0.3;0.3;0.9;0.5;1.7;2.2;0.8;0.9;0.1;0.6;1.9;6.4;SG;0.609;0.344;0.047;0.282;0.035;0.097;0.04;0.004;1.333;0.035;1.143;0.054;0.279;6.6
35;Ayo Dosunmu;23.0;77.7;42.7;27.6;3.9;7.8;0.5;1.1;2.9;0.4;2.9;5.0;0.6;0.6;0.9;1.1;0.8;0.6;2.2;2.8;3.0;0.8;0.4;1.3;2.3;9.9;SG;0.333;0.586;0.091;0.359;0.109;0.101;0.029;0.014;2.308;0.036;1.269;0.141;0.347;11.5
36;Bam Adebayo;25.0;67.3;67.3;33.7;7.6;14.1;0.5;0.1;0.3;0.1;7.5;13.8;0.5;0.5;4.3;5.7;0.8;2.4;7.5;9.9;3.5;1.2;0.8;2.5;2.7;19.6;C;0.015;0.765;0.219;0.582;0.104;0.294;0.036;0.024;1.4;0.147;1.39;0.404;0.567;24.6
37;Ben McLemore;28.0;64.0;6.0;20.1;3.4;8.4;0.4;2.4;6.5;0.4;1.0;1.9;0.5;0.5;1.1;1.4;0.8;0.2;1.4;1.6;0.9;0.6;0.2;0.9;1.6;10.2;SG;0.706;0.196;0.108;0.507;0.045;0.08;0.03;0.01;1.0;0.025;1.214;0.167;0.493;7.3
38;Ben Sheppard;22.0;57.0;1.0;14.3;1.6;4.0;0.4;0.9;2.7;0.3;0.7;1.3;0.6;0.5;0.4;0.5;0.9;0.3;1.3;1.6;0.9;0.6;0.0;0.3;1.5;4.4;SG;0.614;0.318;0.091;0.308;0.063;0.112;0.042;0.0;3.0;0.028;1.1;0.125;0.316;4.7
39;Ben Simmons;26.0;42.0;33.0;26.3;3.2;5.6;0.6;0.0;0.0;0.0;3.2;5.5;0.6;0.6;0.6;1.4;0.4;1.0;5.3;6.3;6.1;1.3;0.6;2.3;3.3;6.9;PG;0.0;0.928;0.087;0.262;0.232;0.24;0.049;0.023;2.652;0.15;1.232;0.25;0.324;15.7
40;Bennedict Mathurin;20.5;68.5;18.0;27.3;5.2;11.7;0.4;1.4;3.8;0.3;3.8;7.9;0.5;0.5;4.0;4.8;0.8;1.0;3.0;4.0;1.8;0.6;0.2;1.8;2.0;15.6;SF;0.269;0.487;0.256;0.571;0.066;0.147;0.022;0.007;1.0;0.058;1.333;0.41;0.572;13.1
41;Bilal Coulibaly;19.0;63.0;15.0;27.2;3.0;6.9;0.4;1.0;2.9;0.3;2.0;3.9;0.5;0.5;1.5;2.1;0.7;0.9;3.2;4.1;1.7;0.9;0.8;1.4;2.2;8.4;SF;0.357;0.476;0.179;0.309;0.062;0.151;0.033;0.029;1.214;0.065;1.217;0.304;0.339;10.0
42;Bismack Biyombo;30.2;41.8;17.8;18.0;2.1;3.7;0.6;0.0;0.0;0.0;2.1;3.7;0.6;0.6;0.7;1.5;0.5;1.7;3.5;5.1;1.1;0.3;1.0;1.0;2.2;4.9;C;0.0;0.857;0.143;0.272;0.061;0.283;0.017;0.056;1.1;0.124;1.324;0.405;0.298;9.1
43;Blake Griffin;32.5;48.5;20.0;15.5;2.0;4.4;0.5;0.6;2.1;0.3;1.4;2.3;0.6;0.5;0.8;1.1;0.7;1.1;2.8;4.0;1.7;0.4;0.2;0.6;1.8;5.2;PF;0.346;0.538;0.154;0.335;0.11;0.258;0.026;0.013;2.833;0.08;1.182;0.25;0.354;8.1
44;Blake Wesley;19.5;49.0;2.0;16.2;1.8;4.6;0.4;0.4;1.2;0.3;1.4;3.5;0.4;0.4;0.8;1.2;0.6;0.3;1.5;1.8;2.7;0.6;0.1;1.4;1.6;4.7;SG;0.255;0.596;0.17;0.29;0.167;0.111;0.037;0.006;1.929;0.037;1.022;0.261;0.403;5.3
45;Boban Marjanovic;33.5;27.0;0.0;5.6;1.6;2.4;0.6;0.0;0.1;0.1;1.6;2.4;0.7;0.6;0.6;1.0;0.7;0.4;1.3;1.8;0.2;0.1;0.1;0.6;0.6;3.8;C;0.0;0.842;0.158;0.679;0.036;0.321;0.018;0.018;0.333;0.063;1.583;0.417;0.614;4.1
46;Bobby Portis;27.0;74.7;28.3;26.2;5.7;11.6;0.5;1.5;3.8;0.4;4.2;7.8;0.5;0.6;1.3;1.6;0.8;2.1;6.6;8.7;1.3;0.6;0.4;1.2;2.1;14.2;C;0.317;0.592;0.092;0.542;0.05;0.332;0.023;0.015;1.083;0.116;1.224;0.138;0.515;17.8
47;Bogdan Bogdanovic;30.0;65.3;23.0;29.2;5.5;12.6;0.4;2.8;7.4;0.4;2.7;5.2;0.5;0.5;1.5;1.8;0.9;0.5;3.0;3.5;3.0;1.0;0.3;1.2;2.0;15.3;SG;0.549;0.353;0.098;0.524;0.103;0.12;0.034;0.01;2.5;0.054;1.214;0.143;0.5;14.5
48;Bojan Bogdanovic;33.4;48.4;36.4;28.2;5.9;12.8;0.5;2.4;6.1;0.4;3.5;6.8;0.5;0.6;2.8;3.4;0.8;0.5;2.7;3.2;1.9;0.5;0.1;1.9;1.7;17.1;PF;0.421;0.409;0.164;0.606;0.067;0.113;0.018;0.004;1.0;0.066;1.336;0.266;0.574;13.4
49;Bol Bol;23.5;56.5;16.5;16.2;3.0;5.2;0.6;0.4;1.4;0.3;2.5;3.8;0.7;0.6;0.8;1.0;0.8;0.8;3.6;4.5;0.7;0.3;0.9;1.0;1.2;7.2;PF;0.167;0.694;0.111;0.444;0.043;0.278;0.019;0.056;0.7;0.078;1.385;0.192;0.41;10.1
50;Bones Hyland;22.0;51.0;2.8;18.1;3.5;8.9;0.4;1.8;5.0;0.4;1.7;3.8;0.4;0.5;1.3;1.6;0.8;0.2;2.0;2.2;2.8;0.7;0.2;1.4;1.7;10.2;PG;0.529;0.333;0.127;0.564;0.155;0.122;0.039;0.011;2.0;0.043;1.146;0.18;0.608;9.0
51;Brad Wanamaker;32.0;22.5;1.5;13.6;1.2;3.3;0.4;0.2;0.8;0.2;1.0;2.6;0.4;0.4;1.0;1.0;0.9;0.3;1.4;1.6;2.3;0.2;0.3;1.0;2.0;3.6;PG;0.167;0.556;0.278;0.265;0.169;0.118;0.015;0.022;2.3;0.076;1.091;0.303;0.349;5.0
52;Bradley Beal;29.0;47.7;47.7;34.3;8.2;16.9;0.5;1.7;4.7;0.4;6.5;12.2;0.5;0.5;3.4;4.1;0.8;0.9;3.4;4.3;5.7;0.9;0.5;2.9;2.3;21.5;SG;0.237;0.605;0.158;0.627;0.166;0.125;0.026;0.015;1.966;0.09;1.272;0.243;0.63;20.6
53;Brandin Podziemski;20.0;74.0;28.0;26.6;3.7;8.1;0.5;1.2;3.2;0.4;2.4;4.9;0.5;0.5;0.7;1.1;0.6;1.6;4.2;5.8;3.7;0.8;0.2;1.2;1.6;9.2;SG;0.391;0.522;0.076;0.346;0.139;0.218;0.03;0.008;3.083;0.078;1.136;0.136;0.368;13.7
54;Brandon Boston Jr.;21.0;35.0;0.3;12.3;2.3;5.6;0.4;0.5;1.7;0.3;1.7;3.9;0.4;0.5;1.1;1.4;0.8;0.4;1.3;1.7;0.8;0.4;0.2;0.6;1.0;6.1;SG;0.246;0.557;0.18;0.496;0.065;0.138;0.033;0.016;1.333;0.049;1.089;0.25;0.554;5.0
55;Brandon Clarke;25.5;60.0;4.5;19.5;4.3;6.6;0.6;0.0;0.2;0.2;4.2;6.4;0.7;0.7;1.6;2.2;0.7;1.8;3.6;5.4;1.3;0.6;0.9;0.8;2.1;10.2;PF;0.0;0.824;0.157;0.523;0.067;0.277;0.031;0.046;1.625;0.09;1.545;0.333;0.429;14.7
56;Brandon Goodwin;26.0;36.0;5.0;13.9;1.8;4.3;0.4;0.5;1.5;0.3;1.3;2.8;0.5;0.5;0.7;1.1;0.6;0.4;1.5;1.9;2.5;0.7;0.0;1.0;1.1;4.8;PG;0.312;0.542;0.146;0.345;0.18;0.137;0.05;0.0;2.5;0.053;1.116;0.256;0.416;6.0
57;Brandon Ingram;25.0;54.7;54.7;33.7;8.3;17.5;0.5;1.3;3.8;0.4;7.0;13.6;0.5;0.5;4.6;5.6;0.8;0.6;4.9;5.5;5.7;0.7;0.5;2.8;2.4;22.7;SF;0.172;0.617;0.203;0.674;0.169;0.163;0.021;0.015;2.036;0.101;1.297;0.32;0.675;22.1
58;Brandon Miller;21.0;74.0;68.0;32.2;6.4;14.6;0.4;2.5;6.7;0.4;3.9;8.0;0.5;0.5;1.9;2.3;0.8;0.8;3.4;4.3;2.4;0.9;0.6;1.8;2.5;17.3;SF;0.434;0.451;0.11;0.537;0.075;0.134;0.028;0.019;1.333;0.057;1.185;0.158;0.541;15.0
