Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%
Isaiah Hartenstein,5.8,24.5,0.229,2.4,6.2,0.6,1.2,0.2
Isaiah Jackson,3.8,22.0,0.362,0.5,3.2,0.2,0.9,0.0
Isaiah Joe,3.6,23.0,0.361,0.5,1.2,0.2,0.0,0.4
Isaiah Thomas,1.0,34.0,0.75,0.0,0.0,0.0,0.0,0.0
Ish Smith,0.5,34.0,0.5,0.3,0.3,0.0,0.0,0.0
Ish Wainright,1.2,27.5,0.389,0.0,0.9,0.0,0.2,0.4
Ivica Zubac,12.7,25.5,0.414,0.8,9.4,0.7,0.4,0.0
Ja Morant,25.8,22.5,0.735,8.4,7.4,1.9,0.3,0.4
JaMychal Green,3.6,31.5,0.376,0.4,1.5,0.0,0.2,0.2
JaVale McGee,6.8,34.0,0.494,0.6,4.0,0.3,0.4,0.0
Jaden Hardy,4.2,21.0,0.64,0.9,0.8,0.2,0.0,0.4
Jaden McDaniels,10.8,22.0,0.331,0.9,3.3,0.6,1.5,0.5
Jaden Springer,1.5,20.0,0.339,0.2,0.5,0.1,0.1,0.0
Jae Crowder,4.5,32.0,0.348,1.2,2.4,0.5,0.3,0.1
Jaime Jaquez Jr.,12.8,22.0,0.506,3.0,3.3,0.8,0.5,0.2
Jalen Brunson,27.3,26.0,0.692,5.6,4.3,1.0,0.1,0.3
Jalen Johnson,2.2,20.5,0.506,0.6,1.2,0.2,0.0,0.2
Jalen McDaniels,2.4,25.0,0.227,0.6,2.0,0.1,0.0,0.3
Jalen Pickett,1.3,24.0,0.541,0.3,0.3,0.0,0.3,0.0
Jalen Smith,1.9,23.0,0.364,0.3,2.0,0.3,0.1,0.5
Jalen Suggs,14.7,22.0,0.498,3.3,5.1,1.3,0.4,0.3
Jalen Williams,18.7,22.0,0.506,5.4,6.8,1.7,0.5,0.4
Jamal Murray,23.4,25.5,0.628,6.4,5.0,1.2,0.4,0.4
James Harden,20.0,33.0,0.517,8.3,5.5,1.2,0.7,0.4
James Johnson,1.0,36.0,2.88,0.0,0.0,0.0,0.0,0.0
Jarace Walker,0.9,20.0,0.568,0.4,0.4,0.2,0.1,0.0
Jared Butler,1.0,21.0,0.6,0.0,1.0,0.0,0.0,0.0
Jaren Jackson Jr.,16.7,22.5,0.556,1.2,7.3,0.9,2.2,0.3
Jarred Vanderbilt,5.0,22.5,0.298,0.8,5.2,1.0,0.6,0.1
Jarrett Allen,13.2,24.5,0.311,1.8,10.6,1.0,1.0,0.0
Jarrett Culver,2.3,22.0,0.59,0.3,2.3,0.7,0.0,0.0
Jason Preston,1.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0
Javonte Green,1.4,28.0,0.304,0.4,3.0,1.8,0.0,0.0
Jaxson Hayes,3.0,22.0,0.356,0.2,2.8,0.0,0.2,0.0
Jaylen Brown,23.2,26.0,0.612,3.4,6.1,1.1,0.5,0.4
Jaylen Nowell,4.6,22.5,0.647,0.8,0.5,0.5,0.0,0.2
Jaylin Williams,4.4,21.0,0.297,1.5,3.2,0.4,0.3,0.4
Jayson Tatum,25.9,24.0,0.645,5.9,9.0,1.1,0.9,0.3
Jeff Green,4.0,35.5,0.203,0.6,2.6,0.4,0.4,0.3
Jeremiah Robinson-Earl,2.0,23.0,0.776,1.0,1.0,0.0,0.0,0.0
Jericho Sims,1.4,25.0,0.324,0.2,1.6,0.4,0.2,0.0
Jett Howard,2.5,20.0,0.5,0.5,0.5,0.0,0.0,1.0
Jevon Carter,1.7,26.5,0.189,1.0,1.2,0.5,0.0,0.3
Jimmy Butler,27.2,32.5,0.651,5.2,7.0,2.0,0.6,0.3
Jock Landale,6.1,27.0,0.316,0.4,4.0,0.4,0.4,0.0
Joe Harris,1.8,31.0,0.393,0.0,1.3,0.5,0.0,0.1
Joe Ingles,4.2,35.5,0.282,1.8,1.5,0.5,0.1,0.4
Joel Embiid,26.8,28.0,0.687,3.5,10.4,0.8,1.7,0.2
John Collins,10.4,24.5,0.417,1.0,4.4,0.4,0.6,0.4
John Konchar,1.0,25.5,0.225,0.7,2.2,0.4,0.2,0.1
Jonas Valanciunas,14.5,30.0,0.581,2.2,12.6,0.6,0.1,0.1
Jonathan Isaac,6.3,26.0,0.302,0.4,4.9,0.7,1.3,0.4
Jonathan Kuminga,4.3,19.5,0.571,0.5,1.3,0.2,0.0,0.3
Jordan Clarkson,17.5,29.0,0.538,1.3,3.2,0.5,0.2,0.4
Jordan Hawkins,1.0,21.0,0.575,0.0,0.7,0.0,0.0,0.0
Jordan McLaughlin,2.3,26.0,0.282,1.6,1.4,0.3,0.0,0.2
Jordan Nwora,0.5,23.0,0.893,0.3,0.4,0.0,0.0,0.0
Jordan Poole,13.6,22.5,0.572,3.6,2.5,0.8,0.3,0.3
Jordan Walsh,0.7,19.0,0.541,0.0,0.7,0.0,0.0,0.0
Jose Alvarado,4.9,24.0,0.388,1.9,1.2,1.2,0.2,0.2
Josh Giddey,8.7,21.0,0.5,2.1,3.6,0.2,0.4,0.4
Josh Green,3.2,22.0,0.258,0.7,1.6,0.6,0.0,0.3
Josh Hart,12.4,27.5,0.361,3.4,9.4,0.9,0.6,0.3
Josh Minott,0.6,20.5,0.396,0.3,0.5,1.0,0.5,0.2
Josh Okogie,2.5,24.0,0.303,0.6,1.0,0.4,0.1,0.2
Jrue Holiday,16.7,32.0,0.49,6.3,6.1,1.3,0.5,0.3
Juan Toscano-Anderson,0.8,28.0,0.397,0.6,0.7,0.1,0.1,0.4
Juancho Hernangómez,2.3,26.0,0.355,0.8,2.0,0.3,0.0,0.3
Julian Strawther,2.3,21.0,0.542,0.0,0.7,0.3,0.0,0.2
Julius Randle,16.6,28.0,0.625,3.6,8.3,0.5,0.3,0.3
Justin Champagnie,0.5,21.0,0.8,0.0,0.0,0.0,0.0,0.0
Justin Holiday,2.9,34.0,0.267,0.3,1.7,0.5,0.0,0.4
Jusuf Nurkic,7.8,29.0,0.355,2.8,8.3,1.5,1.5,0.0
Juwan Morgan,0.1,24.0,0.699,0.0,0.3,0.0,0.0,0.0
Karl-Anthony Towns,19.7,27.0,0.565,2.3,10.0,0.7,1.0,0.4
Kawhi Leonard,23.2,31.5,0.624,4.0,7.2,2.0,0.5,0.3
Keegan Murray,9.7,22.0,0.336,0.7,6.3,0.6,0.3,0.4
Kelly Oubre Jr.,13.2,28.0,0.343,1.7,4.0,1.8,1.2,0.4
Kendall Brown,0.6,20.0,0.361,0.3,0.4,0.0,0.1,0.0
Kenneth Lofton Jr.,1.8,20.0,1.073,0.3,0.8,0.0,0.0,0.0
Kenrich Williams,0.6,29.0,0.457,0.4,1.1,0.1,0.0,0.0
Kentavious Caldwell-Pope,9.4,29.5,0.263,2.1,3.1,1.4,0.6,0.4
Kessler Edwards,1.0,21.5,0.5,0.2,0.1,0.2,0.0,0.0
Kevin Durant,27.4,34.0,0.631,5.0,7.0,0.8,1.1,0.4
Kevin Huerter,9.1,23.5,0.413,2.4,3.7,0.8,1.0,0.2
Kevin Knox,11.0,22.0,1.653,0.0,1.0,1.0,0.0,0.6
Kevin Love,4.4,34.5,0.367,1.0,4.2,0.2,0.2,0.3
Kevon Looney,6.2,25.5,0.259,2.8,10.4,0.5,0.4,0.0
Khem Birch,3.0,29.0,0.305,0.5,1.5,0.2,0.2,0.5
Khris Middleton,21.0,31.0,0.596,6.0,6.9,0.9,0.1,0.4
Klay Thompson,18.8,31.5,0.531,2.2,4.0,0.8,0.5,0.4
Kobe Brown,1.0,24.0,0.606,0.0,0.7,0.0,0.0,0.0
Kristaps Porzingis,12.3,28.0,0.452,1.1,4.4,0.7,1.6,0.3
Kyle Anderson,6.3,29.0,0.331,2.9,3.7,1.1,0.5,0.3
Kyle Lowry,8.0,36.0,0.335,4.4,3.5,1.1,0.7,0.3
Kyrie Irving,21.7,30.0,0.514,5.2,4.5,1.4,0.8,0.4
Lamar Stevens,2.5,25.0,0.542,0.0,1.5,0.0,0.0,1.0
Landry Shamet,4.6,24.5,0.286,1.2,1.7,0.4,0.0,0.4
Larry Nance Jr.,7.8,30.0,0.351,1.8,7.0,0.5,0.2,0.2
LeBron James,26.2,38.5,0.618,7.6,8.4,1.8,1.0,0.3
Leonard Miller,1.0,20.0,0.565,0.0,1.3,0.0,0.0,0.0
Lindy Waters III,1.0,26.0,0.433,0.0,0.3,0.0,0.0,0.0
Lonnie Walker IV,6.2,24.0,0.384,0.8,0.9,0.5,0.1,0.4
Luca Vildoza,0.7,26.0,0.792,0.6,0.3,0.3,0.0,0.2
Luguentz Dort,10.7,24.0,0.315,2.0,4.6,1.3,0.2,0.4
Luka Doncic,30.3,23.0,0.792,7.2,9.6,1.8,0.5,0.3
Luka Garza,4.1,25.0,0.861,0.1,0.9,0.0,0.0,0.7
Luke Kennard,7.2,26.0,0.241,1.4,4.0,0.8,0.0,0.5
Luke Kornet,2.0,27.0,0.255,0.2,1.7,0.0,0.2,0.7
Malachi Flynn,1.0,23.0,0.233,0.5,0.5,0.2,0.0,0.0
Malcolm Brogdon,11.9,30.0,0.486,2.9,3.5,0.2,0.3,0.4
Malik Beasley,6.8,26.0,0.393,0.5,2.2,0.4,0.1,0.3
Malik Fitts,0.9,24.0,0.778,0.0,0.2,0.0,0.0,1.0
Malik Monk,19.0,24.0,0.627,3.6,5.4,0.7,0.4,0.3
Mamadi Diakite,0.5,27.0,0.347,0.3,0.8,0.3,0.3,0.0
MarJon Beauchamp,1.6,22.5,0.595,0.2,0.4,0.0,0.0,0.5
Marcus Morris,7.4,33.5,0.429,0.2,3.4,0.4,0.2,0.3
Marcus Smart,15.2,27.5,0.456,5.5,4.2,1.2,0.2,0.4
Markelle Fultz,6.4,25.0,0.435,1.1,2.0,0.4,0.0,0.0
Markieff Morris,1.5,33.0,0.533,0.0,2.5,0.0,0.0,0.2
Marquese Chriss,1.8,24.0,0.382,0.0,1.1,0.0,0.0,0.5
Mason Plumlee,5.7,32.5,0.3,1.2,5.0,0.4,0.4,0.0
Matisse Thybulle,3.0,24.0,0.199,0.4,1.0,0.8,0.8,0.3
Matt Ryan,1.0,26.0,0.667,0.0,1.0,1.0,0.0,0.0
Max Christie,1.4,19.0,0.615,0.3,0.8,0.0,0.1,0.2
Max Strus,9.9,26.0,0.329,2.1,4.3,0.6,0.2,0.3
Maxi Kleber,6.2,31.0,0.249,1.0,3.2,0.2,0.6,0.4
Meyers Leonard,1.0,30.0,0.6,0.0,0.5,0.0,0.0,0.0
Michael Porter Jr.,14.6,24.5,0.396,1.4,7.4,0.7,0.7,0.4
Mikal Bridges,18.4,25.5,0.467,3.4,5.0,0.8,0.8,0.4
Mike Conley,10.9,35.0,0.363,5.6,3.2,0.9,0.2,0.4
Mike Muscala,1.5,31.0,0.345,0.2,0.7,0.0,0.0,0.5
Miles McBride,5.7,22.5,0.382,1.0,1.2,0.2,0.2,0.4
Mitchell Robinson,4.6,24.5,0.218,0.6,8.0,0.8,1.4,0.0
Mo Bamba,1.0,24.0,0.515,0.3,1.0,0.0,0.3,0.0
Monte Morris,8.2,27.0,0.423,3.2,1.5,0.7,0.0,0.2
Montrezl Harrell,1.0,29.0,0.714,0.0,0.5,0.0,0.0,0.0
Moritz Wagner,6.3,26.0,0.484,0.3,4.4,0.9,0.4,0.2
Moses Moody,4.5,19.5,0.32,0.5,1.6,0.3,0.2,0.6
Myles Turner,17.0,27.0,0.471,2.1,6.6,0.5,1.5,0.5
Naji Marshall,6.0,25.0,0.354,1.0,1.9,0.4,0.4,0.2
Nassir Little,1.8,23.0,0.657,0.0,0.3,0.0,0.0,0.3
Nathan Knight,1.0,25.0,1.0,0.0,0.5,0.0,0.0,0.0
Naz Reid,8.0,23.0,0.473,0.5,3.2,0.4,1.0,0.4
Neemias Queta,1.3,24.0,0.465,0.0,1.0,0.0,0.3,0.0
Nemanja Bjelica,2.9,33.0,0.302,1.1,2.1,0.3,0.1,0.4
Nic Claxton,10.5,22.5,0.318,1.5,7.2,0.8,2.0,0.0
Nickeil Alexander-Walker,6.9,24.0,0.32,1.6,1.6,0.7,0.2,0.2
Nicolas Batum,5.4,34.5,0.221,1.2,4.0,0.3,0.6,0.4
Nik Stauskas,1.0,28.0,1.129,0.3,0.3,0.0,0.0,0.3
Nikola Jokic,29.9,27.0,0.723,8.0,13.4,1.4,0.9,0.3
Nikola Jovic,4.9,19.5,0.348,1.1,3.6,0.5,0.3,0.2
Nikola Vucevic,19.4,31.0,0.559,3.2,12.4,0.4,1.2,0.3
Norman Powell,17.3,29.5,0.507,1.2,2.9,0.6,0.2,0.4
OG Anunoby,16.2,25.0,0.423,1.8,5.0,1.0,0.6,0.4
Obi Toppin,9.0,24.5,0.469,1.2,4.0,0.6,0.4,0.3
Olivier-Maxence Prosper,1.0,21.0,0.567,0.3,1.0,0.0,0.0,0.0
Omer Yurtseven,1.6,23.5,0.803,0.2,0.7,0.0,0.1,0.0
Onyeka Okongwu,5.6,21.5,0.253,0.8,5.8,0.6,1.0,0.5
Orlando Robinson,1.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0
Oshae Brissett,1.6,25.0,0.25,0.0,1.4,0.3,0.2,1.0
Otto Porter Jr.,5.4,28.0,0.252,1.8,3.4,0.9,0.3,0.4
Ousmane Dieng,0.5,20.0,0.833,0.0,0.0,0.0,0.0,0.0
P.J. Tucker,6.1,37.0,0.242,1.1,3.9,0.7,0.2,0.5
P.J. Washington,13.0,25.0,0.37,1.4,6.6,0.7,0.8,0.3
PJ Dozier,2.7,26.0,1.5,0.0,0.7,0.0,0.0,0.5
Paolo Banchero,27.0,21.0,0.775,4.0,8.6,1.1,0.6,0.4
Pascal Siakam,22.2,28.0,0.538,4.8,7.4,1.0,0.7,0.3
Pat Connaughton,8.7,30.0,0.306,1.6,4.4,0.8,0.3,0.4
Patrick Baldwin Jr.,1.0,20.0,0.541,0.3,1.0,0.0,0.0,0.0
Patrick Beverley,9.6,34.0,0.305,5.2,3.2,1.1,1.0,0.4
Patrick Williams,11.8,20.0,0.385,0.8,5.4,1.0,0.6,0.3
Patty Mills,4.1,34.0,0.319,0.3,0.4,0.1,0.1,0.3
Paul George,19.5,33.0,0.539,4.8,6.8,1.2,0.5,0.4
Paul Millsap,1.0,36.0,0.333,1.0,1.0,0.0,0.0,0.0
Paul Reed,3.3,23.0,0.317,0.6,4.0,0.5,0.5,0.2
Payton Pritchard,4.8,25.0,0.381,1.6,1.5,0.2,0.0,0.4
Peyton Watson,1.4,20.5,0.344,0.3,1.2,0.0,0.4,0.4
Precious Achiuwa,7.7,23.0,0.351,0.8,4.5,0.3,1.0,0.2
Quentin Grimes,5.1,22.0,0.25,1.4,2.8,1.0,0.6,0.2
RJ Barrett,19.3,22.0,0.577,2.8,4.5,0.8,0.2,0.3
Raul Neto,0.5,30.0,0.554,0.5,0.0,0.0,0.0,0.0
Rayjon Tucker,0.3,24.0,0.583,0.0,0.4,0.0,0.0,0.0
Reggie Bullock,10.6,30.0,0.235,1.7,4.6,1.2,0.1,0.4
Reggie Jackson,2.0,32.5,0.413,0.6,0.8,0.2,0.0,0.4
Ricky Rubio,1.0,32.0,0.351,1.0,2.0,0.3,0.0,0.0
Robert Covington,1.0,32.0,0.417,1.0,1.0,0.0,0.5,0.0
Robert Williams,7.7,24.5,0.262,1.0,6.1,0.6,1.8,0.0
Robin Lopez,4.0,34.0,0.813,0.0,0.5,0.0,0.0,0.0
Royce O'Neale,5.4,29.0,0.243,2.0,4.9,0.7,0.2,0.3
Rudy Gobert,13.0,30.0,0.333,1.4,11.7,0.5,1.0,0.0
Rui Hachimura,10.0,24.5,0.335,0.7,3.7,0.2,0.2,0.4
Russell Westbrook,15.0,34.5,0.661,4.6,5.9,1.2,1.0,0.3
Saddiq Bey,7.5,23.0,0.345,1.0,4.0,0.5,0.0,0.4
Sam Hauser,2.7,25.0,0.311,0.4,1.1,0.1,0.1,0.3
