Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%
Marcus Morris,9.9,33.2,0.432,1.3,3.5,0.4,0.3,0.4
Marcus Sasser,8.3,23.0,0.468,3.3,1.8,0.6,0.2,0.4
Marcus Smart,12.7,28.0,0.448,5.5,3.2,1.8,0.3,0.3
Mark Williams,9.0,21.0,0.4,0.4,7.1,0.7,1.0,0.0
Markelle Fultz,10.9,24.5,0.469,4.2,3.6,1.2,0.4,0.3
Markieff Morris,3.3,33.3,0.374,0.8,1.9,0.3,0.1,0.4
Markus Howard,4.1,22.0,0.668,0.2,0.4,0.3,0.0,0.4
Marquese Chriss,4.5,24.0,0.475,0.5,3.0,0.4,0.4,0.3
Marvin Bagley III,11.3,23.2,0.474,0.9,6.6,0.4,0.6,0.3
Mason Plumlee,8.5,32.0,0.333,2.6,7.7,0.6,0.6,0.0
Matisse Thybulle,5.1,25.0,0.239,1.0,2.2,1.4,0.7,0.3
Matt Ryan,4.1,25.3,0.373,0.5,0.9,0.1,0.0,0.4
Matt Thomas,4.0,27.0,0.332,0.5,1.3,0.2,0.1,0.4
Matthew Dellavedova,1.5,32.0,0.297,1.3,0.4,0.2,0.0,0.3
Maurice Harkless,4.6,28.0,0.264,0.5,2.4,0.6,0.5,0.3
Max Christie,3.6,19.5,0.283,0.7,2.0,0.2,0.2,0.4
Max Strus,11.4,26.0,0.397,2.5,3.7,0.6,0.3,0.4
Maxi Kleber,5.8,31.0,0.253,1.4,4.3,0.4,0.8,0.3
Maxwell Lewis,0.3,21.0,0.315,0.2,0.1,0.1,0.0,0.1
McKinley Wright IV,4.2,24.0,0.372,2.1,1.7,0.3,0.2,0.3
Michael Porter Jr.,17.0,24.5,0.494,1.2,6.2,0.6,0.6,0.4
Mikal Bridges,19.4,26.0,0.513,3.1,4.4,1.1,0.6,0.4
Mike Conley,12.3,35.0,0.4,6.1,2.8,1.2,0.2,0.4
Mike Muscala,5.5,31.2,0.363,0.7,3.0,0.2,0.4,0.4
Miles Bridges,20.6,24.0,0.549,3.6,7.2,0.9,0.6,0.3
Miles McBride,4.7,22.0,0.358,1.3,1.1,0.6,0.1,0.3
Mitchell Robinson,7.2,24.0,0.243,0.7,8.8,1.0,1.6,0.0
Mo Bamba,7.2,24.0,0.387,1.0,5.4,0.4,1.2,0.4
Monte Morris,8.2,27.2,0.364,3.5,2.4,0.7,0.2,0.4
Montrezl Harrell,11.0,28.2,0.455,1.7,5.1,0.4,0.6,0.1
Moritz Wagner,10.1,25.0,0.511,1.4,4.2,0.5,0.2,0.3
Moses Brown,3.9,22.8,0.475,0.1,3.5,0.1,0.4,0.0
