ID;Player
297;Nikola Jovic
298;Nikola Vucevic
299;Norman Powell
300;OG Anunoby
301;Obi Toppin
302;Olivier-Maxence Prosper
303;Omer Yurtseven
304;Onyeka Okongwu
305;Orlando Robinson
306;Oshae Brissett
307;Otto Porter Jr.
308;Ousmane Dieng
309;P.J. Tucker
310;P.J. Washington
311;PJ Dozier
312;Paolo Banchero
313;Pascal Siakam
314;Pat Connaughton
315;Patrick Baldwin Jr.
316;Patrick Beverley
317;Patrick Williams
318;Patty Mills
319;Paul George
320;Paul Millsap
321;Paul Reed
322;Payton Pritchard
323;Peyton Watson
324;Precious Achiuwa
325;Quentin Grimes
326;RJ Barrett
327;Raul Neto
328;Rayjon Tucker
329;Reggie Bullock
330;Reggie Jackson
331;Ricky Rubio
332;Robert Covington
333;Robert Williams
334;Robin Lopez
335;Royce O'Neale
336;Rudy Gobert
337;Rui Hachimura
338;Russell Westbrook
339;Saddiq Bey
340;Sam Hauser
341;Sam Merrill
342;Santi Aldama
343;Scottie Barnes
344;Serge Ibaka
345;Seth Curry
346;Shai Gilgeous-Alexander
347;Shake Milton
348;Shaquille Harrison
349;Skylar Mays
350;Spencer Dinwiddie
351;Stephen Curry
352;Sterling Brown
353;Steven Adams
354;Svi Mykhailiuk
355;T.J. McConnell
356;T.J. Warren
357;Taurean Prince
358;Terance Mann
359;Terence Davis
360;Terrence Ross
361;Thaddeus Young
362;Thanasis Antetokounmpo
363;Thomas Bryant
364;Tim Hardaway Jr.
365;Timothé Luwawu-Cabarrot
366;Tobias Harris
367;Tony Bradley
368;Torrey Craig
369;Trae Young
370;Trey Burke
371;Trey Lyles
372;Trey Murphy III
373;Tristan Thompson
374;Troy Brown Jr.
375;Tyler Herro
376;Tyrese Haliburton
377;Tyrese Maxey
378;Tyus Jones
379;Udonis Haslem
380;Victor Oladipo
381;Vlatko Cancar
382;Wendell Carter Jr.
383;Wendell Moore Jr.
384;Wenyen Gabriel
385;Wesley Matthews
386;Will Barton
387;Willy Hernangómez
388;Xavier Tillman Sr.
389;Yuta Watanabe
390;Zach LaVine
391;Zeke Nnaji
392;Ziaire Williams
