Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
49;Nic Claxton;C;22;BRK;4;0;24.5;4.8;6;0.792;0;0;0;4.8;6;0.792;0.792;1;5.5;0.182;1.8;4.5;6.3;1.5;1.3;2.3;0.5;1.5;10.5
50;John Collins;PF;24;ATL;5;4;24.4;3.8;7.8;0.487;0.8;2.2;0.364;3;5.6;0.536;0.538;1;2;0.5;0.4;4.2;4.6;1.2;0.4;0.2;1;2.4;9.4
51;Mike Conley;PG;34;UTA;6;6;29;3.2;9.5;0.333;0.8;4.2;0.2;2.3;5.3;0.438;0.377;2;2.5;0.8;0.3;2.8;3.2;4.8;0.8;0.3;2.2;3.2;9.2
52;Pat Connaughton;SG;29;MIL;12;0;26.5;3.5;7.3;0.477;2.1;5.3;0.391;1.4;2;0.708;0.619;0.4;0.4;1;0.3;4;4.3;0.9;0.4;0.3;0.6;1.2;9.5
53;DeMarcus Cousins;C;31;DEN;5;0;11.4;3.8;5.8;0.655;0.8;1.2;0.667;3;4.6;0.652;0.724;2.2;3;0.733;0.6;2.8;3.4;1.2;0.6;0.2;1.4;1.8;10.6
54;Torrey Craig;SF;31;PHO;9;0;7.7;0.9;2.4;0.364;0.3;1.1;0.3;0.6;1.3;0.417;0.432;0.1;0.2;0.5;0.6;1.1;1.7;0.6;0.4;0.2;0.4;0.7;2.2
55;Jae Crowder;PF;31;PHO;13;13;29.5;3.2;8.1;0.4;1.5;4.8;0.302;1.8;3.2;0.548;0.49;1.5;2;0.731;0.6;4.1;4.7;2.4;1;0.5;1.5;3.6;9.4
56;Jarrett Culver;SG;22;MEM;3;0;7.3;1;3.3;0.3;0;0.7;0;1;2.7;0.375;0.3;0.3;0.7;0.5;0.7;1.7;2.3;0.3;0.7;0;0.7;1.3;2.3
57;Seth Curry;SG;31;BRK;4;4;33;5.5;9.8;0.564;3;5.8;0.522;2.5;4;0.625;0.718;0.5;0.8;0.667;0.5;2;2.5;3;0.3;0.8;0.8;3.8;14.5
58;Stephen Curry;PG;33;GSW;22;18;34.7;9.2;20;0.459;4.1;10.4;0.397;5;9.6;0.526;0.563;4.9;5.9;0.829;0.5;4.7;5.2;5.9;1.3;0.4;2.6;2.7;27.4
59;Dewayne Dedmon;C;32;MIA;14;0;9.9;1.5;3.2;0.467;0.1;0.7;0.1;1.4;2.5;0.571;0.478;0.7;0.9;0.833;1.1;1.9;3;0.4;0.1;0.2;0.5;2.6;3.8
60;DeMar DeRozan;PF;32;CHI;5;5;40.6;7.8;19;0.411;0;1.8;0;7.8;17.2;0.453;0.411;5.2;6;0.867;0.2;5.2;5.4;4.8;1.8;0.4;2.2;2.4;20.8
61;Gorgui Dieng;C;32;ATL;2;0;5;0.5;1;0.5;0;0.5;0;0.5;0.5;1;0.5;0.5;0.5;1;0.5;1;1.5;0;0;0;0;0;1.5
62;Spencer Dinwiddie;PG;28;DAL;18;3;27.8;4.4;10.7;0.417;2.2;5.3;0.417;2.2;5.3;0.417;0.521;3.1;3.7;0.821;0.4;2;2.4;3.6;0.8;0.3;1.6;2.3;14.2
63;Luka Don?i?;PG;22;DAL;15;15;36.8;10.7;23.5;0.455;3.4;9.9;0.345;7.3;13.6;0.534;0.527;6.9;9;0.77;0.7;9.1;9.8;6.4;1.8;0.6;3.9;2.9;31.7
64;Ayo Dosunmu;SG;22;CHI;5;1;17.2;1.6;5.2;0.308;0.6;2.6;0.231;1;2.6;0.385;0.365;0.2;0.2;1;0.8;1.8;2.6;2.2;0.2;0;0.6;1;4
65;Goran Dragi?;PG;35;BRK;4;0;19.8;4.5;8;0.563;1;3;0.333;3.5;5;0.7;0.625;0.5;0.5;1;1.5;3;4.5;1.5;0.8;0;1.3;2.8;10.5
66;Andre Drummond;C;28;BRK;4;4;15;1.5;2.8;0.545;0;0;0;1.5;2.8;0.545;0.545;0.8;1.3;0.6;0.8;2.3;3;0.8;1.3;0.8;1.5;3;3.8
67;Kevin Durant;PF;33;BRK;4;4;44;8;20.8;0.386;1.8;5.3;0.333;6.3;15.5;0.403;0.428;8.5;9.5;0.895;0.5;5.3;5.8;6.3;1;0.3;5.3;3.8;26.3
68;Anthony Edwards;SG;20;MIN;6;6;37.8;8.3;18.3;0.455;3.8;9.5;0.404;4.5;8.8;0.509;0.559;4.7;5.7;0.824;0.7;3.5;4.2;3;1.2;1.2;2.5;3.7;25.2
69;Kessler Edwards;SF;21;BRK;2;0;3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0.5;1.5;0
70;Joel Embiid;C;27;PHI;10;10;38.5;7.8;16.1;0.484;0.7;3.3;0.212;7.1;12.8;0.555;0.506;7.3;8.9;0.82;2.1;8.6;10.7;2.1;0.4;0.8;3.2;3.4;23.6
71;Dorian Finney-Smith;PF;28;DAL;18;18;38.2;4.1;8.7;0.471;2.6;6;0.426;1.6;2.7;0.571;0.618;0.9;1.3;0.708;1.8;3.7;5.5;1.9;0.9;0.4;1;2.9;11.7
72;Malik Fitts;PF;24;BOS;9;0;1.8;0.3;0.4;0.75;0.2;0.2;1;0.1;0.2;0.5;1;0;0;0;0;0.2;0.2;0;0;0;0;0;0.9
73;Malachi Flynn;PG;23;TOR;6;0;6;0;1.2;0;0;0.5;0;0;0.7;0;0;0;0;0;0.3;0.2;0.5;0.5;0.2;0;0.2;1;0
74;Bryn Forbes;SG;28;DEN;5;0;15.2;1.2;3;0.4;0.8;2.2;0.364;0.4;0.8;0.5;0.533;0.8;1;0.8;0.2;0.4;0.6;1.4;0.2;0;0.4;1.4;4
75;Danilo Gallinari;PF;33;ATL;5;3;22.4;3.6;9;0.4;0.8;3;0.267;2.8;6;0.467;0.444;2.2;2.2;1;0.4;3.8;4.2;0.8;0.2;0;1;1.2;10.2
76;Rudy Gobert;C;29;UTA;6;6;32.8;3.5;5.5;0.636;0;0;0;3.5;5.5;0.636;0.636;5;7.3;0.682;3.5;9.7;13.2;0.5;0.2;1;1.3;3.2;12
77;Aaron Gordon;PF;26;DEN;5;5;32;4.6;10.8;0.426;0.6;3;0.2;4;7.8;0.513;0.454;4;5.6;0.714;3.6;3.6;7.2;2.6;0.4;1.2;1.6;2.8;13.8
78;Devonte' Graham;PG;26;NOP;6;0;10;1;3;0.333;0.8;2.3;0.357;0.2;0.7;0.25;0.472;1.2;1.3;0.875;0.3;1.2;1.5;0.7;0.2;0.2;0.7;0.5;4
79;Danny Green;SF;34;PHI;12;12;26.6;3;7.4;0.404;2.6;6.3;0.408;0.4;1.1;0.385;0.579;0;0.1;0;0.8;2.3;3.1;0.8;1;0.3;1.1;1.9;8.6
80;Draymond Green;PF;31;GSW;22;22;32;3.1;6.5;0.479;0.4;1.8;0.205;2.8;4.8;0.581;0.507;1.4;2.1;0.638;1.2;6;7.2;6.3;1.1;1;2.7;4;8
81;JaMychal Green;PF;31;DEN;5;0;13.8;1.2;3.2;0.375;0.2;1;0.2;1;2.2;0.455;0.406;1.4;1.4;1;0.6;1.8;2.4;0.4;0;0.2;0.4;2.4;4
82;Javonte Green;SF;28;CHI;5;1;14.4;0.6;3.4;0.176;0;1.2;0;0.6;2.2;0.273;0.176;0.2;0.4;0.5;1.6;1.4;3;0.4;1.8;0;0.8;1.6;1.4
83;Jeff Green;C;35;DEN;5;5;22.6;1.2;3.4;0.353;0.6;1.6;0.375;0.6;1.8;0.333;0.441;0.8;1;0.8;1.4;2.2;3.6;0.4;0.6;0.4;0.4;1.2;3.8
84;Josh Green;SG;21;DAL;16;0;7.6;0.5;1.8;0.286;0.3;1.4;0.227;0.2;0.4;0.5;0.375;0.1;0.5;0.25;0.1;0.7;0.8;0.4;0.3;0;0;1;1.4
85;Blake Griffin;PF;32;BRK;2;0;12.5;1;3.5;0.286;1;2.5;0.4;0;1;0;0.429;1;1;1;1;1;2;2;0.5;0.5;0.5;1.5;4
86;James Harden;SG;32;PHI;12;12;39.9;5.3;13.2;0.405;2.3;6.3;0.368;3;6.8;0.439;0.494;5.6;6.3;0.893;0.9;4.8;5.7;8.6;0.8;0.7;4.2;2.4;18.6
87;Tobias Harris;PF;29;PHI;12;12;38.8;6.8;13.5;0.5;1.8;4.8;0.386;4.9;8.8;0.562;0.568;1.6;1.8;0.864;0.8;6.8;7.6;2.9;1.1;0.8;1.5;2.9;16.9
88;Sam Hauser;SF;24;BOS;7;0;2.1;0.1;0.6;0.25;0.1;0.4;0.333;0;0.1;0;0.375;0.3;0.3;1;0;0.1;0.1;0.3;0;0;0;0;0.7
89;Jaxson Hayes;C;21;NOP;6;6;13.8;2.3;4.2;0.56;0;0.5;0;2.3;3.7;0.636;0.56;1.2;1.8;0.636;0.7;1.8;2.5;0.2;0;0.3;0.7;1.8;5.8
90;Juancho Hernangómez;PF;26;UTA;6;0;9.3;0.8;3;0.278;0.7;2;0.333;0.2;1;0.167;0.389;0;0;0;0.3;1.7;2;0.8;0.3;0;0.3;0.7;2.3
91;Willy Hernangómez;C;27;NOP;1;0;2;1;4;0.25;0;1;0;1;3;0.333;0.25;0;0;0;2;0;2;0;0;0;0;1;2
92;Tyler Herro;SG;22;MIA;15;0;25.4;4.9;12.1;0.409;1.1;4.7;0.229;3.9;7.4;0.523;0.453;1.7;1.8;0.926;0.5;3.4;3.9;2.8;0.6;0.4;1.8;1.4;12.6
93;Haywood Highsmith;SF;25;MIA;8;0;3.9;0.4;0.9;0.429;0.4;0.6;0.6;0;0.3;0;0.643;0;0;0;0.3;0.4;0.6;0.4;0;0;0.4;0.3;1.1
94;George Hill;SG;35;MIL;5;0;15.2;0.2;1;0.2;0.2;0.4;0.5;0;0.6;0;0.3;0.4;0.4;1;0.2;1;1.2;0.6;0;0;0.2;2;1
95;Aaron Holiday;PG;25;PHO;6;0;3.3;1.3;2.3;0.571;0.8;1.2;0.714;0.5;1.2;0.429;0.75;0;0.2;0;0.5;0;0.5;1.5;0.5;0.2;0;0.2;3.5
96;Jrue Holiday;PG;31;MIL;12;12;38.6;7.4;19.6;0.379;2.1;6.6;0.316;5.3;13;0.41;0.432;2.2;2.6;0.839;1;4.6;5.6;6.5;1.8;0.6;2.8;2.3;19.1
97;Al Horford;C;35;BOS;23;23;35.4;4.4;8.4;0.523;2;4.3;0.48;2.3;4.1;0.568;0.645;1.2;1.6;0.778;1.5;7.8;9.3;3.3;0.8;1.3;1.3;2.8;12
98;Danuel House Jr.;SF;28;UTA;6;0;18.7;1.5;3.7;0.409;0.3;1.7;0.2;1.2;2;0.583;0.455;1;1.3;0.75;0.3;2.5;2.8;0.7;0;0.2;1;1.2;4.3
99;Kevin Huerter;SG;23;ATL;5;5;30.8;3.4;9.4;0.362;1.8;6.2;0.29;1.6;3.2;0.5;0.457;0.6;0.8;0.75;0.2;2.8;3;3.8;1.2;0.6;2.2;3;9.2
100;De'Andre Hunter;SF;24;ATL;5;5;35;7.8;14;0.557;2.4;5.2;0.462;5.4;8.8;0.614;0.643;3.2;4;0.8;0.4;3.4;3.8;0.6;0.8;0.2;2.2;4;21.2
101;Bones Hyland;PG;21;DEN;5;0;17.4;2.6;7.2;0.361;1.6;4.6;0.348;1;2.6;0.385;0.472;2.4;2.8;0.857;0.2;1.8;2;3.2;0.2;0;1.2;2.4;9.2
102;Serge Ibaka;PF;32;MIL;6;0;3.7;0.7;2.7;0.25;0;0.5;0;0.7;2.2;0.308;0.25;0.2;0.3;0.5;0.3;1.3;1.7;0;0;0;0.3;0.2;1.5
103;Andre Iguodala;SF;38;GSW;7;0;8.7;0.6;1.3;0.444;0.1;0.4;0.333;0.4;0.9;0.5;0.5;0.3;0.4;0.667;0.4;0.6;1;1.7;0;0.3;0.6;1.6;1.6
104;Brandon Ingram;SF;24;NOP;6;6;39.3;9.3;19.7;0.475;1.8;4.5;0.407;7.5;15.2;0.495;0.521;6.5;7.8;0.83;0.7;5.5;6.2;6.2;0.7;0.3;3.8;1.8;27
105;Kyrie Irving;PG;29;BRK;4;4;42.5;7;15.8;0.444;2;5.3;0.381;5;10.5;0.476;0.508;5.3;5.3;1;1.5;3.8;5.3;5.3;1.8;1.3;2.3;3.3;21.3
106;Jaren Jackson Jr.;PF;22;MEM;12;12;27.7;4.9;13;0.378;2.3;6;0.375;2.7;7;0.381;0.465;3.3;4.4;0.755;2.2;4.6;6.8;0.9;0.8;2.5;1.4;4.4;15.4
107;Isaiah Joe;SG;22;PHI;7;0;2.1;0.3;0.7;0.4;0.1;0.4;0.333;0.1;0.3;0.5;0.5;0;0;0;0;0.3;0.3;0;0;0;0.4;0.1;0.7
108;Cameron Johnson;PF;25;PHO;13;3;24.6;3.5;7.6;0.465;1.7;4.5;0.373;1.8;3.1;0.6;0.576;2;2.5;0.813;0.7;2.8;3.5;1.5;0.4;0.1;0.9;2.4;10.8
109;Jalen Johnson;PF;20;ATL;2;0;4.5;0;1.5;0;0;0.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0
110;Nikola Joki?;C;26;DEN;5;5;34.2;12.2;21.2;0.575;1;3.6;0.278;11.2;17.6;0.636;0.599;5.6;6.6;0.848;3.4;9.8;13.2;5.8;1.6;1;4.8;4;31
111;Derrick Jones Jr.;PF;24;CHI;5;0;11.8;1.4;3.4;0.412;0.6;2.2;0.273;0.8;1.2;0.667;0.5;0.4;0.6;0.667;0.6;0.8;1.4;0.4;0.2;0;0.6;1.6;3.8
112;Herbert Jones;PF;23;NOP;6;6;37.7;3.5;7.3;0.477;0.8;2;0.417;2.7;5.3;0.5;0.534;2.8;3.7;0.773;1.3;2;3.3;1.8;1.8;0.8;1.3;3.7;10.7
113;Tyus Jones;PG;25;MEM;12;3;21.8;3.3;8.3;0.394;1.5;3.8;0.4;1.8;4.5;0.389;0.485;1.2;1.3;0.933;0.3;2.9;3.3;4.5;1.2;0.2;1.1;0.7;9.2
114;DeAndre Jordan;C;33;PHI;3;2;10.3;1.7;1.7;1;0;0;0;1.7;1.7;1;1;0;0;0;0.3;2;2.3;0.3;0;0.7;0.7;1.3;3.3
115;Maxi Kleber;PF;30;DAL;18;0;25.4;3;5.9;0.509;1.9;4.3;0.436;1.1;1.6;0.714;0.67;0.8;1.2;0.714;0.8;3.7;4.6;1.1;0.2;0.8;0.6;2.7;8.7
116;Kevin Knox;SF;22;ATL;2;0;4.5;3.5;5.5;0.636;3;5;0.6;0.5;0.5;1;0.909;1;1;1;0;1;1;0;1;0;1.5;0;11
117;John Konchar;SG;25;MEM;8;0;7;0.4;1.4;0.273;0.1;0.8;0.167;0.3;0.6;0.4;0.318;0.3;0.3;1;0.4;2;2.4;0.6;0.4;0.1;0.1;0.9;1.1
118;Furkan Korkmaz;SG;24;PHI;9;0;6.8;1.2;2.6;0.478;0.4;1.1;0.4;0.8;1.4;0.538;0.565;0.2;0.2;1;0.1;1.2;1.3;0.4;0.1;0.1;0.2;0.8;3.1
119;Luke Kornet;C;26;BOS;9;0;2.1;0.3;0.4;0.75;0.1;0.1;1;0.2;0.3;0.667;0.875;0;0;0;0.1;0.4;0.6;0.1;0;0;0.1;0.1;0.8
120;Jonathan Kuminga;SF;19;GSW;16;3;8.6;1.9;3.8;0.5;0.2;0.8;0.231;1.7;2.9;0.574;0.525;1.3;1.6;0.769;0.3;1.4;1.7;0.5;0.2;0.1;0.7;0.7;5.2
121;Zach LaVine;SF;26;CHI;4;4;38.3;6.8;15.8;0.429;2.3;6;0.375;4.5;9.8;0.462;0.5;3.5;3.8;0.933;0;5.3;5.3;6;0.8;0.3;3;2.3;19.3
122;Damion Lee;SG;29;GSW;16;0;7.8;0.8;2.1;0.382;0.3;1;0.25;0.6;1.1;0.5;0.441;0.1;0.2;0.667;0.3;1.3;1.6;0.4;0.1;0;0.4;0.5;2
123;Kevon Looney;C;25;GSW;22;13;20.4;2.6;4;0.659;0;0;0;2.6;4;0.659;0.659;0.5;0.8;0.611;2.9;4.8;7.6;2.2;0.4;0.5;0.9;2.3;5.8
124;Brook Lopez;C;33;MIL;12;12;27.7;4.2;8.5;0.49;0.5;2.3;0.214;3.7;6.2;0.595;0.52;1.8;1.9;0.913;2.3;3.7;5.9;0.7;0.5;1.5;0.9;2.8;10.6
125;Kyle Lowry;PG;35;MIA;10;10;29.5;2.5;8.6;0.291;1.3;5.4;0.241;1.2;3.2;0.375;0.366;1.5;1.9;0.789;0.3;3.3;3.6;4.7;1.2;0.7;1.9;2.9;7.8
126;Timothé Luwawu-Cabarrot;SF;26;ATL;4;0;5.5;0.5;1;0.5;0.3;0.8;0.333;0.3;0.3;1;0.625;0;0;0;0;0.8;0.8;0.5;0;0;0.3;1.5;1.3
127;Boban Marjanovi?;C;33;DAL;3;0;2;0.3;1.3;0.25;0;0;0;0.3;1.3;0.25;0.25;0.7;0.7;1;0;1;1;0;0.3;0;0.7;0;1.3
128;Naji Marshall;SF;24;NOP;6;0;9.3;1.2;1.7;0.7;0;0;0;1.2;1.7;0.7;0.7;0.7;0.7;1;0.5;0.5;1;0.8;0.2;0.2;0.5;0.8;3
129;Caleb Martin;SF;26;MIA;17;0;12.3;1.9;4.7;0.4;0.6;1.9;0.303;1.3;2.8;0.468;0.463;0.1;0.4;0.333;0.7;1.5;2.2;0.3;0.6;0.1;0.6;1;4.5
130;Wesley Matthews;SG;35;MIL;12;12;28.8;2.1;5.3;0.391;1.5;3.8;0.4;0.6;1.6;0.368;0.531;0.5;0.8;0.667;0.8;2.3;3.1;1.2;0.8;0.3;0.5;2.3;6.2
