Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%,Cluster_Label
Chuma Okeke,3.0,25.0,0.544,0.5,0.0,0.0,0.0,0.5,Bench Player
Clint Capela,5.2,27.5,0.24,0.2,7.9,0.8,0.5,0.0,Role Player
Coby White,8.4,21.0,0.543,1.8,3.4,0.2,0.0,0.3,Role Player
Cody Zeller,2.2,30.0,0.314,0.3,2.3,0.1,0.2,0.0,Bench Player
Cole Anthony,5.1,23.0,0.488,1.3,2.1,0.6,0.1,0.2,Role Player
D'Angelo Russell,13.2,26.0,0.474,5.2,2.7,1.0,0.2,0.3,Role Player
DaQuan Jeffries,1.0,25.5,0.526,0.0,0.5,0.2,0.0,0.2,Bench Player
Dalano Banton,1.8,22.0,0.73,0.3,0.5,0.3,0.0,0.0,Bench Player
Damian Jones,1.0,28.0,0.444,1.0,1.0,0.0,0.5,0.0,Bench Player
Damian Lillard,31.3,33.0,0.687,5.0,3.3,1.0,0.0,0.4,All Star
Damion Lee,2.0,29.5,0.275,0.5,1.5,0.2,0.0,0.2,Bench Player
Daniel Gafford,9.0,25.0,0.387,0.7,5.5,0.3,1.5,0.0,Role Player
Daniel Theis,3.6,30.0,0.316,0.4,2.2,0.2,0.2,0.6,Bench Player
Danilo Gallinari,7.0,34.0,0.413,0.8,3.6,0.1,0.0,0.1,Role Player
Danny Green,4.7,34.5,0.284,0.6,2.4,0.8,0.3,0.3,Bench Player
Dante Exum,2.0,28.0,0.352,0.6,0.8,0.1,0.0,0.4,Bench Player
Danuel House Jr.,3.6,28.5,0.347,0.4,2.2,0.0,0.1,0.2,Bench Player
Darius Garland,18.2,23.5,0.534,5.4,2.7,1.4,0.2,0.4,Role Player
David Duke Jr.,2.0,23.0,0.8,0.0,0.0,0.0,0.0,0.0,Bench Player
David Roddy,1.9,21.5,0.358,0.4,1.4,0.0,0.2,0.2,Bench Player
Davion Mitchell,7.1,24.0,0.395,1.7,1.3,0.9,0.1,0.3,Role Player
Davis Bertans,4.1,29.0,0.337,0.3,1.4,0.4,0.1,0.4,Bench Player
Day'Ron Sharpe,1.5,20.5,0.304,1.2,1.5,0.0,0.2,0.0,Bench Player
De'Aaron Fox,27.4,25.0,0.782,7.7,5.4,2.1,0.6,0.3,All Star
De'Andre Hunter,19.0,24.5,0.473,0.9,4.8,0.8,0.2,0.4,Role Player
De'Anthony Melton,4.5,24.0,0.379,1.4,2.5,0.7,0.4,0.2,Bench Player
DeAndre Jordan,2.2,34.0,0.268,0.2,1.6,0.2,0.5,0.0,Bench Player
DeMar DeRozan,20.8,32.0,0.587,4.8,5.4,1.8,0.4,0.0,Defensive Specialist
DeMarcus Cousins,10.6,31.0,0.747,1.2,3.4,0.6,0.2,0.7,Role Player
Dean Wade,2.4,26.5,0.229,0.8,1.8,0.2,0.4,0.2,Bench Player
Deandre Ayton,15.6,23.5,0.463,1.4,9.3,0.5,0.8,0.2,Role Player
Dejounte Murray,23.0,26.0,0.616,6.8,7.2,2.0,0.2,0.4,All Star
Delon Wright,8.1,30.0,0.237,2.3,3.9,0.9,0.2,0.5,Role Player
Dennis Schröder,7.4,29.0,0.325,2.9,1.9,1.0,0.2,0.3,Role Player
Dereck Lively II,7.9,19.0,0.308,1.3,7.4,0.4,1.0,1.0,Role Player
Derrick Jones Jr.,6.4,25.0,0.317,0.8,2.4,0.4,0.5,0.3,Role Player
Derrick Rose,1.0,34.0,1.667,1.0,0.0,0.0,0.0,0.0,Bench Player
Derrick White,12.9,28.0,0.39,3.0,3.4,0.8,0.9,0.4,Role Player
Desmond Bane,21.2,23.5,0.538,2.7,4.9,0.7,0.4,0.4,Role Player
Devin Booker,28.2,26.0,0.621,5.9,4.3,1.3,0.5,0.4,All Star
Devonte' Graham,4.0,26.0,0.427,0.7,1.5,0.2,0.2,0.4,Bench Player
Dewayne Dedmon,1.9,32.5,0.416,0.2,2.0,0.0,0.1,0.0,Bench Player
Dillon Brooks,12.6,26.5,0.568,2.2,2.8,0.6,0.2,0.3,Role Player
Domantas Sabonis,16.4,26.0,0.564,4.7,11.0,1.4,0.9,0.2,Defensive Specialist
Donovan Mitchell,26.1,26.0,0.697,5.9,4.9,1.3,0.5,0.3,All Star
Donte DiVincenzo,11.6,26.5,0.433,2.7,3.5,1.0,0.6,0.4,Role Player
Dorian Finney-Smith,9.0,28.5,0.272,1.4,5.0,0.8,0.4,0.4,Role Player
Doug McDermott,1.3,32.0,0.188,0.7,0.3,0.0,0.2,0.4,Bench Player
Draymond Green,8.7,31.5,0.337,6.6,7.0,1.3,1.0,0.2,Defensive Specialist
Drew Eubanks,5.7,26.0,0.418,0.0,1.3,0.7,0.3,0.0,Role Player
Duncan Robinson,5.7,28.0,0.399,1.1,1.4,0.3,0.1,0.4,Role Player
Dwight Powell,1.8,31.0,0.209,0.2,1.8,0.2,0.2,0.0,Bench Player
Dyson Daniels,1.3,20.0,0.404,0.0,0.7,0.7,0.0,0.0,Bench Player
E.J. Liddell,1.0,23.0,0.667,0.0,1.0,0.0,0.0,0.0,Bench Player
Edmond Sumner,1.0,27.0,0.5,1.0,0.0,0.0,0.0,0.0,Bench Player
Elfrid Payton,2.0,27.0,0.625,1.5,0.0,0.0,0.0,0.0,Bench Player
Eric Gordon,9.1,34.5,0.321,2.0,1.6,1.0,0.4,0.4,Role Player
Eric Paschall,2.0,25.0,0.439,0.0,1.3,0.3,0.0,0.5,Bench Player
Evan Mobley,12.9,21.5,0.385,2.2,9.6,0.7,1.7,0.1,Defensive Specialist
Facundo Campazzo,1.0,30.0,0.303,0.5,0.8,0.0,0.0,0.0,Bench Player
Frank Ntilikina,1.9,23.0,0.245,0.8,1.0,0.7,0.1,0.3,Bench Player
Franz Wagner,18.9,22.0,0.507,4.4,6.9,0.7,1.3,0.3,Defensive Specialist
Fred VanVleet,13.8,27.0,0.433,6.3,3.0,1.8,1.0,0.3,Defensive Specialist
Furkan Korkmaz,1.9,24.5,0.38,0.4,0.8,0.0,0.0,0.2,Bench Player
Gabe Vincent,7.4,26.0,0.376,2.4,1.6,0.7,0.2,0.3,Role Player
Garrett Temple,1.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0,Bench Player
Gary Harris,4.2,29.0,0.194,0.7,2.0,1.2,0.5,0.3,Bench Player
Gary Payton II,6.6,29.5,0.325,1.0,3.4,1.0,0.6,0.4,Role Player
Gary Trent Jr.,15.3,23.0,0.47,1.3,1.7,1.0,0.5,0.3,Role Player
George Hill,1.0,35.0,0.091,0.6,1.2,0.0,0.0,0.5,Bench Player
Georges Niang,4.0,29.0,0.317,0.5,1.0,0.2,0.1,0.3,Bench Player
Giannis Antetokounmpo,27.5,27.5,0.892,6.0,12.6,0.5,1.0,0.1,All Star
Goga Bitadze,1.0,24.0,0.3,1.0,1.5,0.0,0.0,0.0,Bench Player
Goran Dragic,6.2,35.5,0.485,1.0,2.2,0.4,0.0,0.2,Role Player
Gordon Hayward,1.0,33.0,0.212,0.4,1.9,0.1,0.1,0.0,Bench Player
Gorgui Dieng,1.5,32.0,0.444,0.0,1.5,0.0,0.0,0.0,Bench Player
Grant Williams,6.8,23.5,0.274,1.0,3.0,0.3,0.6,0.4,Role Player
Grayson Allen,7.8,27.0,0.29,1.4,3.1,0.5,0.1,0.4,Role Player
Greg Monroe,2.0,31.0,0.857,0.5,1.0,1.0,0.0,0.0,Bench Player
Harrison Barnes,10.7,30.0,0.38,0.7,3.4,1.1,0.3,0.2,Role Player
Hassan Whiteside,1.8,32.0,0.306,0.0,5.2,0.3,1.3,0.0,Bench Player
Haywood Highsmith,3.1,26.0,0.267,0.8,1.6,0.3,0.1,0.4,Bench Player
Herbert Jones,11.8,24.0,0.337,2.2,4.2,1.6,0.6,0.4,Defensive Specialist
Hunter Tyson,0.3,23.0,0.406,0.3,1.0,0.0,0.0,0.0,Bench Player
Immanuel Quickley,9.0,23.0,0.479,1.0,1.6,0.5,0.0,0.2,Role Player
Isaac Bonga,2.0,22.0,0.96,0.0,1.0,0.0,0.0,0.0,Bench Player
Isaac Okoro,6.0,22.5,0.35,1.0,1.6,0.6,0.4,0.3,Role Player
Isaiah Hartenstein,5.8,24.5,0.229,2.4,6.2,0.6,1.2,0.2,Role Player
Isaiah Jackson,3.8,22.0,0.362,0.5,3.2,0.2,0.9,0.0,Bench Player
Isaiah Joe,3.6,23.0,0.361,0.5,1.2,0.2,0.0,0.4,Bench Player
Isaiah Thomas,1.0,34.0,0.75,0.0,0.0,0.0,0.0,0.0,Bench Player
Ish Smith,0.5,34.0,0.5,0.3,0.3,0.0,0.0,0.0,Bench Player
Ish Wainright,1.2,27.5,0.389,0.0,0.9,0.0,0.2,0.4,Bench Player
Ivica Zubac,12.7,25.5,0.414,0.8,9.4,0.7,0.4,0.0,Role Player
Ja Morant,25.8,22.5,0.735,8.4,7.4,1.9,0.3,0.4,All Star
JaMychal Green,3.6,31.5,0.376,0.4,1.5,0.0,0.2,0.2,Bench Player
JaVale McGee,6.8,34.0,0.494,0.6,4.0,0.3,0.4,0.0,Role Player
Jaden Hardy,4.2,21.0,0.64,0.9,0.8,0.2,0.0,0.4,Bench Player
Jaden McDaniels,10.8,22.0,0.331,0.9,3.3,0.6,1.5,0.5,Defensive Specialist
Jaden Springer,1.5,20.0,0.339,0.2,0.5,0.1,0.1,0.0,Bench Player
Jae Crowder,4.5,32.0,0.348,1.2,2.4,0.5,0.3,0.1,Bench Player
Jaime Jaquez Jr.,12.8,22.0,0.506,3.0,3.3,0.8,0.5,0.2,Role Player
Jalen Brunson,27.3,26.0,0.692,5.6,4.3,1.0,0.1,0.3,All Star
Jalen Johnson,2.2,20.5,0.506,0.6,1.2,0.2,0.0,0.2,Bench Player
Jalen McDaniels,2.4,25.0,0.227,0.6,2.0,0.1,0.0,0.3,Bench Player
Jalen Pickett,1.3,24.0,0.541,0.3,0.3,0.0,0.3,0.0,Bench Player
Jalen Smith,1.9,23.0,0.364,0.3,2.0,0.3,0.1,0.5,Bench Player
Jalen Suggs,14.7,22.0,0.498,3.3,5.1,1.3,0.4,0.3,Role Player
Jalen Williams,18.7,22.0,0.506,5.4,6.8,1.7,0.5,0.4,Defensive Specialist
Jamal Murray,23.4,25.5,0.628,6.4,5.0,1.2,0.4,0.4,All Star
James Harden,20.0,33.0,0.517,8.3,5.5,1.2,0.7,0.4,Role Player
James Johnson,1.0,36.0,2.88,0.0,0.0,0.0,0.0,0.0,Bench Player
Jarace Walker,0.9,20.0,0.568,0.4,0.4,0.2,0.1,0.0,Bench Player
Jared Butler,1.0,21.0,0.6,0.0,1.0,0.0,0.0,0.0,Bench Player
Jaren Jackson Jr.,16.7,22.5,0.556,1.2,7.3,0.9,2.2,0.3,Defensive Specialist
Jarred Vanderbilt,5.0,22.5,0.298,0.8,5.2,1.0,0.6,0.1,Role Player
Jarrett Allen,13.2,24.5,0.311,1.8,10.6,1.0,1.0,0.0,Defensive Specialist
Jarrett Culver,2.3,22.0,0.59,0.3,2.3,0.7,0.0,0.0,Bench Player
Jason Preston,1.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,Bench Player
Javonte Green,1.4,28.0,0.304,0.4,3.0,1.8,0.0,0.0,Bench Player
Jaxson Hayes,3.0,22.0,0.356,0.2,2.8,0.0,0.2,0.0,Bench Player
Jaylen Brown,23.2,26.0,0.612,3.4,6.1,1.1,0.5,0.4,All Star
Jaylen Nowell,4.6,22.5,0.647,0.8,0.5,0.5,0.0,0.2,Bench Player
Jaylin Williams,4.4,21.0,0.297,1.5,3.2,0.4,0.3,0.4,Bench Player
Jayson Tatum,25.9,24.0,0.645,5.9,9.0,1.1,0.9,0.3,All Star
Jeff Green,4.0,35.5,0.203,0.6,2.6,0.4,0.4,0.3,Bench Player
Jeremiah Robinson-Earl,2.0,23.0,0.776,1.0,1.0,0.0,0.0,0.0,Bench Player
Jericho Sims,1.4,25.0,0.324,0.2,1.6,0.4,0.2,0.0,Bench Player
Jett Howard,2.5,20.0,0.5,0.5,0.5,0.0,0.0,1.0,Bench Player
Jevon Carter,1.7,26.5,0.189,1.0,1.2,0.5,0.0,0.3,Bench Player
Jimmy Butler,27.2,32.5,0.651,5.2,7.0,2.0,0.6,0.3,All Star
Jock Landale,6.1,27.0,0.316,0.4,4.0,0.4,0.4,0.0,Role Player
Joe Harris,1.8,31.0,0.393,0.0,1.3,0.5,0.0,0.1,Bench Player
Joe Ingles,4.2,35.5,0.282,1.8,1.5,0.5,0.1,0.4,Bench Player
Joel Embiid,26.8,28.0,0.687,3.5,10.4,0.8,1.7,0.2,All Star
John Collins,10.4,24.5,0.417,1.0,4.4,0.4,0.6,0.4,Role Player
John Konchar,1.0,25.5,0.225,0.7,2.2,0.4,0.2,0.1,Bench Player
Jonas Valanciunas,14.5,30.0,0.581,2.2,12.6,0.6,0.1,0.1,Role Player
Jonathan Isaac,6.3,26.0,0.302,0.4,4.9,0.7,1.3,0.4,Defensive Specialist
Jonathan Kuminga,4.3,19.5,0.571,0.5,1.3,0.2,0.0,0.3,Bench Player
Jordan Clarkson,17.5,29.0,0.538,1.3,3.2,0.5,0.2,0.4,Role Player
Jordan Hawkins,1.0,21.0,0.575,0.0,0.7,0.0,0.0,0.0,Bench Player
Jordan McLaughlin,2.3,26.0,0.282,1.6,1.4,0.3,0.0,0.2,Bench Player
Jordan Nwora,0.5,23.0,0.893,0.3,0.4,0.0,0.0,0.0,Bench Player
Jordan Poole,13.6,22.5,0.572,3.6,2.5,0.8,0.3,0.3,Role Player
Jordan Walsh,0.7,19.0,0.541,0.0,0.7,0.0,0.0,0.0,Bench Player
Jose Alvarado,4.9,24.0,0.388,1.9,1.2,1.2,0.2,0.2,Bench Player
Josh Giddey,8.7,21.0,0.5,2.1,3.6,0.2,0.4,0.4,Role Player
Josh Green,3.2,22.0,0.258,0.7,1.6,0.6,0.0,0.3,Bench Player
Josh Hart,12.4,27.5,0.361,3.4,9.4,0.9,0.6,0.3,Role Player
Josh Minott,0.6,20.5,0.396,0.3,0.5,1.0,0.5,0.2,Bench Player
Josh Okogie,2.5,24.0,0.303,0.6,1.0,0.4,0.1,0.2,Bench Player
Jrue Holiday,16.7,32.0,0.49,6.3,6.1,1.3,0.5,0.3,Role Player
Juan Toscano-Anderson,0.8,28.0,0.397,0.6,0.7,0.1,0.1,0.4,Bench Player
Juancho Hernangómez,2.3,26.0,0.355,0.8,2.0,0.3,0.0,0.3,Bench Player
Julian Strawther,2.3,21.0,0.542,0.0,0.7,0.3,0.0,0.2,Bench Player
Julius Randle,16.6,28.0,0.625,3.6,8.3,0.5,0.3,0.3,Role Player
Justin Champagnie,0.5,21.0,0.8,0.0,0.0,0.0,0.0,0.0,Bench Player
Justin Holiday,2.9,34.0,0.267,0.3,1.7,0.5,0.0,0.4,Bench Player
Jusuf Nurkic,7.8,29.0,0.355,2.8,8.3,1.5,1.5,0.0,Defensive Specialist
Juwan Morgan,0.1,24.0,0.699,0.0,0.3,0.0,0.0,0.0,Bench Player
Karl-Anthony Towns,19.7,27.0,0.565,2.3,10.0,0.7,1.0,0.4,Role Player
Kawhi Leonard,23.2,31.5,0.624,4.0,7.2,2.0,0.5,0.3,All Star
Keegan Murray,9.7,22.0,0.336,0.7,6.3,0.6,0.3,0.4,Role Player
Kelly Oubre Jr.,13.2,28.0,0.343,1.7,4.0,1.8,1.2,0.4,Defensive Specialist
Kendall Brown,0.6,20.0,0.361,0.3,0.4,0.0,0.1,0.0,Bench Player
Kenneth Lofton Jr.,1.8,20.0,1.073,0.3,0.8,0.0,0.0,0.0,Bench Player
Kenrich Williams,0.6,29.0,0.457,0.4,1.1,0.1,0.0,0.0,Bench Player
Kentavious Caldwell-Pope,9.4,29.5,0.263,2.1,3.1,1.4,0.6,0.4,Defensive Specialist
Kessler Edwards,1.0,21.5,0.5,0.2,0.1,0.2,0.0,0.0,Bench Player
Kevin Durant,27.4,34.0,0.631,5.0,7.0,0.8,1.1,0.4,All Star
Kevin Huerter,9.1,23.5,0.413,2.4,3.7,0.8,1.0,0.2,Role Player
Kevin Knox,11.0,22.0,1.653,0.0,1.0,1.0,0.0,0.6,Role Player
Kevin Love,4.4,34.5,0.367,1.0,4.2,0.2,0.2,0.3,Bench Player
Kevon Looney,6.2,25.5,0.259,2.8,10.4,0.5,0.4,0.0,Role Player
Khem Birch,3.0,29.0,0.305,0.5,1.5,0.2,0.2,0.5,Bench Player
Khris Middleton,21.0,31.0,0.596,6.0,6.9,0.9,0.1,0.4,Role Player
Klay Thompson,18.8,31.5,0.531,2.2,4.0,0.8,0.5,0.4,Role Player
Kobe Brown,1.0,24.0,0.606,0.0,0.7,0.0,0.0,0.0,Bench Player
Kristaps Porzingis,12.3,28.0,0.452,1.1,4.4,0.7,1.6,0.3,Defensive Specialist
Kyle Anderson,6.3,29.0,0.331,2.9,3.7,1.1,0.5,0.3,Role Player
Kyle Lowry,8.0,36.0,0.335,4.4,3.5,1.1,0.7,0.3,Role Player
Kyrie Irving,21.7,30.0,0.514,5.2,4.5,1.4,0.8,0.4,All Star
Lamar Stevens,2.5,25.0,0.542,0.0,1.5,0.0,0.0,1.0,Bench Player
Landry Shamet,4.6,24.5,0.286,1.2,1.7,0.4,0.0,0.4,Bench Player
Larry Nance Jr.,7.8,30.0,0.351,1.8,7.0,0.5,0.2,0.2,Role Player
LeBron James,26.2,38.5,0.618,7.6,8.4,1.8,1.0,0.3,All Star
Leonard Miller,1.0,20.0,0.565,0.0,1.3,0.0,0.0,0.0,Bench Player
Lindy Waters III,1.0,26.0,0.433,0.0,0.3,0.0,0.0,0.0,Bench Player
Lonnie Walker IV,6.2,24.0,0.384,0.8,0.9,0.5,0.1,0.4,Role Player
Luca Vildoza,0.7,26.0,0.792,0.6,0.3,0.3,0.0,0.2,Bench Player
Luguentz Dort,10.7,24.0,0.315,2.0,4.6,1.3,0.2,0.4,Role Player
Luka Doncic,30.3,23.0,0.792,7.2,9.6,1.8,0.5,0.3,All Star
Luka Garza,4.1,25.0,0.861,0.1,0.9,0.0,0.0,0.7,Bench Player
Luke Kennard,7.2,26.0,0.241,1.4,4.0,0.8,0.0,0.5,Role Player
Luke Kornet,2.0,27.0,0.255,0.2,1.7,0.0,0.2,0.7,Bench Player
Malachi Flynn,1.0,23.0,0.233,0.5,0.5,0.2,0.0,0.0,Bench Player
Malcolm Brogdon,11.9,30.0,0.486,2.9,3.5,0.2,0.3,0.4,Role Player
Malik Beasley,6.8,26.0,0.393,0.5,2.2,0.4,0.1,0.3,Role Player
Malik Fitts,0.9,24.0,0.778,0.0,0.2,0.0,0.0,1.0,Bench Player
Malik Monk,19.0,24.0,0.627,3.6,5.4,0.7,0.4,0.3,Role Player
Mamadi Diakite,0.5,27.0,0.347,0.3,0.8,0.3,0.3,0.0,Bench Player
MarJon Beauchamp,1.6,22.5,0.595,0.2,0.4,0.0,0.0,0.5,Bench Player
Marcus Morris,7.4,33.5,0.429,0.2,3.4,0.4,0.2,0.3,Role Player
Marcus Smart,15.2,27.5,0.456,5.5,4.2,1.2,0.2,0.4,Role Player
Markelle Fultz,6.4,25.0,0.435,1.1,2.0,0.4,0.0,0.0,Role Player
Markieff Morris,1.5,33.0,0.533,0.0,2.5,0.0,0.0,0.2,Bench Player
Marquese Chriss,1.8,24.0,0.382,0.0,1.1,0.0,0.0,0.5,Bench Player
Mason Plumlee,5.7,32.5,0.3,1.2,5.0,0.4,0.4,0.0,Role Player
Matisse Thybulle,3.0,24.0,0.199,0.4,1.0,0.8,0.8,0.3,Bench Player
Matt Ryan,1.0,26.0,0.667,0.0,1.0,1.0,0.0,0.0,Bench Player
Max Christie,1.4,19.0,0.615,0.3,0.8,0.0,0.1,0.2,Bench Player
Max Strus,9.9,26.0,0.329,2.1,4.3,0.6,0.2,0.3,Role Player
Maxi Kleber,6.2,31.0,0.249,1.0,3.2,0.2,0.6,0.4,Role Player
Meyers Leonard,1.0,30.0,0.6,0.0,0.5,0.0,0.0,0.0,Bench Player
Michael Porter Jr.,14.6,24.5,0.396,1.4,7.4,0.7,0.7,0.4,Role Player
Mikal Bridges,18.4,25.5,0.467,3.4,5.0,0.8,0.8,0.4,Role Player
Mike Conley,10.9,35.0,0.363,5.6,3.2,0.9,0.2,0.4,Role Player
Mike Muscala,1.5,31.0,0.345,0.2,0.7,0.0,0.0,0.5,Bench Player
Miles McBride,5.7,22.5,0.382,1.0,1.2,0.2,0.2,0.4,Role Player
Mitchell Robinson,4.6,24.5,0.218,0.6,8.0,0.8,1.4,0.0,Bench Player
Mo Bamba,1.0,24.0,0.515,0.3,1.0,0.0,0.3,0.0,Bench Player
Monte Morris,8.2,27.0,0.423,3.2,1.5,0.7,0.0,0.2,Role Player
Montrezl Harrell,1.0,29.0,0.714,0.0,0.5,0.0,0.0,0.0,Bench Player
Moritz Wagner,6.3,26.0,0.484,0.3,4.4,0.9,0.4,0.2,Role Player
Moses Moody,4.5,19.5,0.32,0.5,1.6,0.3,0.2,0.6,Bench Player
Myles Turner,17.0,27.0,0.471,2.1,6.6,0.5,1.5,0.5,Defensive Specialist
Naji Marshall,6.0,25.0,0.354,1.0,1.9,0.4,0.4,0.2,Role Player
Nassir Little,1.8,23.0,0.657,0.0,0.3,0.0,0.0,0.3,Bench Player
Nathan Knight,1.0,25.0,1.0,0.0,0.5,0.0,0.0,0.0,Bench Player
Naz Reid,8.0,23.0,0.473,0.5,3.2,0.4,1.0,0.4,Role Player
Neemias Queta,1.3,24.0,0.465,0.0,1.0,0.0,0.3,0.0,Bench Player
Nemanja Bjelica,2.9,33.0,0.302,1.1,2.1,0.3,0.1,0.4,Bench Player
Nic Claxton,10.5,22.5,0.318,1.5,7.2,0.8,2.0,0.0,Defensive Specialist
Nickeil Alexander-Walker,6.9,24.0,0.32,1.6,1.6,0.7,0.2,0.2,Role Player
Nicolas Batum,5.4,34.5,0.221,1.2,4.0,0.3,0.6,0.4,Role Player
Nik Stauskas,1.0,28.0,1.129,0.3,0.3,0.0,0.0,0.3,Bench Player
Nikola Jokic,29.9,27.0,0.723,8.0,13.4,1.4,0.9,0.3,All Star
Nikola Jovic,4.9,19.5,0.348,1.1,3.6,0.5,0.3,0.2,Bench Player
Nikola Vucevic,19.4,31.0,0.559,3.2,12.4,0.4,1.2,0.3,Role Player
Norman Powell,17.3,29.5,0.507,1.2,2.9,0.6,0.2,0.4,Role Player
