Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%,Cluster_Label
Jonathan Kuminga,11.8,20.0,0.525,1.7,3.8,0.6,0.4,0.3,Role Player
Jontay Porter,4.4,24.0,0.37,2.3,3.2,0.8,0.8,0.3,Bench Player
Jordan Clarkson,18.0,30.0,0.636,4.0,3.6,0.6,0.2,0.3,Role Player
Jordan Goodwin,6.0,24.7,0.416,2.5,3.5,0.8,0.3,0.3,Role Player
Jordan Hawkins,7.8,21.0,0.458,1.0,2.2,0.3,0.1,0.4,Role Player
Jordan McLaughlin,3.7,26.0,0.281,2.8,1.4,0.7,0.1,0.4,Bench Player
Jordan Nwora,8.4,24.2,0.485,1.3,3.6,0.4,0.3,0.4,Role Player
Jordan Poole,18.8,23.0,0.642,4.3,2.9,0.9,0.3,0.3,Role Player
Jose Alvarado,7.4,24.0,0.428,2.6,2.2,1.2,0.2,0.3,Role Player
Josh Christopher,6.8,20.5,0.502,1.6,1.8,0.7,0.2,0.3,Role Player
Josh Giddey,13.8,20.0,0.55,5.8,7.4,0.8,0.5,0.3,Role Player
Josh Green,7.4,22.0,0.315,1.7,2.9,0.7,0.2,0.4,Role Player
Josh Hart,11.2,26.8,0.337,3.9,7.7,1.1,0.3,0.4,Role Player
Josh Jackson,6.8,24.0,0.454,1.2,3.0,0.5,0.4,0.3,Role Player
Josh Minott,1.6,21.0,0.491,0.3,0.5,0.2,0.2,0.4,Bench Player
Josh Okogie,4.9,24.0,0.35,1.0,2.5,0.7,0.4,0.3,Bench Player
Josh Richardson,10.0,28.7,0.412,2.2,2.7,1.0,0.4,0.4,Role Player
Joshua Primo,5.8,19.0,0.364,1.6,2.3,0.4,0.5,0.3,Role Player
Jrue Holiday,16.7,32.0,0.507,6.3,5.0,1.2,0.5,0.4,Role Player
Juan Toscano-Anderson,3.3,28.8,0.291,1.4,2.4,0.4,0.2,0.2,Bench Player
Juancho Hernangómez,3.1,26.5,0.263,0.6,2.7,0.4,0.2,0.3,Bench Player
Julian Champagnie,6.8,22.0,0.34,1.4,2.8,0.6,0.6,0.4,Role Player
Julian Phillips,2.2,20.0,0.299,0.3,0.9,0.2,0.2,0.3,Bench Player
Julian Strawther,4.5,21.0,0.474,0.9,1.2,0.3,0.1,0.3,Bench Player
Julius Randle,23.1,28.0,0.678,4.7,9.7,0.6,0.4,0.3,All Star
Justin Champagnie,2.3,20.0,0.286,0.3,2.0,0.2,0.1,0.4,Bench Player
Justin Holiday,7.1,32.7,0.338,1.3,1.8,0.6,0.4,0.4,Role Player
Justin Jackson,0.9,27.0,0.286,0.4,0.7,0.2,0.2,0.2,Bench Player
Justin Minaya,1.8,24.0,0.235,0.6,1.6,0.3,0.3,0.2,Bench Player
Justin Robinson,3.1,24.0,0.371,1.3,0.8,0.4,0.0,0.3,Bench Player
Justise Winslow,5.6,25.3,0.378,2.2,4.3,0.8,0.5,0.2,Role Player
Jusuf Nurkic,13.1,28.0,0.502,3.2,10.4,1.0,0.8,0.3,Role Player
KJ Martin,3.7,23.0,0.307,0.9,2.2,0.4,0.2,0.3,Bench Player
KZ Okpala,2.5,22.5,0.274,0.6,1.5,0.2,0.2,0.3,Bench Player
Kai Jones,2.2,21.5,0.309,0.2,1.6,0.2,0.4,0.4,Bench Player
Karl-Anthony Towns,22.4,27.0,0.628,3.8,8.7,0.8,0.8,0.4,Role Player
Kawhi Leonard,23.8,31.5,0.615,3.8,6.3,1.5,0.7,0.4,All Star
Keegan Murray,13.7,22.5,0.397,1.4,5.0,0.9,0.6,0.4,Role Player
Keifer Sykes,5.6,28.0,0.402,1.9,1.4,0.4,0.1,0.3,Role Player
Keita Bates-Diop,5.9,27.2,0.349,1.0,3.1,0.6,0.4,0.3,Role Player
Kelan Martin,6.0,26.0,0.425,0.8,1.9,0.4,0.3,0.3,Role Player
Keldon Johnson,18.2,23.0,0.569,2.6,5.5,0.7,0.2,0.4,Role Player
Keljin Blevins,3.1,26.0,0.378,0.6,1.5,0.4,0.0,0.3,Bench Player
Kelly Olynyk,10.4,31.4,0.438,4.0,5.3,0.9,0.4,0.4,Role Player
Kelly Oubre Jr.,16.9,27.0,0.567,1.2,4.7,1.2,0.5,0.3,Role Player
Kemba Walker,11.6,31.0,0.474,3.5,3.0,0.7,0.2,0.4,Role Player
Kendrick Nunn,7.1,27.0,0.548,1.3,1.6,0.4,0.1,0.4,Role Player
Kennedy Chandler,2.2,20.0,0.382,1.6,1.1,0.3,0.1,0.1,Bench Player
Kenneth Lofton Jr.,4.8,20.5,0.587,1.2,2.0,0.2,0.2,0.3,Bench Player
Kenrich Williams,6.7,28.0,0.337,1.8,4.1,0.8,0.2,0.4,Role Player
Kent Bazemore,3.4,32.0,0.305,0.9,1.8,0.6,0.2,0.4,Bench Player
Kentavious Caldwell-Pope,11.4,29.0,0.347,2.2,2.8,1.3,0.5,0.4,Role Player
Kenyon Martin Jr.,10.8,21.5,0.395,1.4,4.6,0.4,0.4,0.3,Role Player
Keon Ellis,5.4,24.0,0.289,1.5,2.2,0.9,0.5,0.4,Role Player
Keon Johnson,7.2,19.3,0.509,2.2,2.0,0.8,0.3,0.3,Role Player
Kessler Edwards,3.6,22.0,0.3,0.6,2.1,0.4,0.2,0.3,Bench Player
Kevin Durant,29.0,34.0,0.698,5.4,6.8,0.8,1.2,0.4,All Star
Kevin Huerter,12.5,24.0,0.422,2.7,3.4,0.8,0.4,0.4,Role Player
Kevin Knox,6.2,23.0,0.43,0.6,2.5,0.3,0.2,0.3,Role Player
Kevin Love,9.4,34.0,0.467,2.0,6.4,0.3,0.2,0.3,Role Player
Kevin Pangos,1.6,29.0,0.332,1.3,0.5,0.1,0.0,0.2,Bench Player
Kevin Porter Jr.,17.4,21.5,0.578,6.0,4.8,1.2,0.4,0.4,Role Player
Kevon Harris,4.1,25.0,0.316,0.5,2.1,0.5,0.1,0.4,Bench Player
Kevon Looney,5.8,26.0,0.268,2.1,7.4,0.5,0.5,0.0,Role Player
Keyonte George,13.0,20.0,0.545,4.4,2.8,0.5,0.1,0.3,Role Player
Khem Birch,3.4,29.5,0.258,0.7,2.8,0.4,0.4,0.2,Bench Player
Khris Middleton,16.8,31.0,0.613,5.2,4.8,0.9,0.3,0.4,Role Player
Killian Hayes,8.0,21.0,0.402,5.1,3.0,1.2,0.5,0.3,Role Player
Killian Tillie,3.3,23.0,0.312,0.6,1.7,0.6,0.4,0.3,Bench Player
Kira Lewis Jr.,4.6,21.0,0.483,1.4,1.3,0.4,0.1,0.3,Bench Player
Klay Thompson,20.1,32.0,0.625,2.5,3.8,0.6,0.5,0.4,Role Player
Kobe Brown,2.0,24.0,0.244,0.6,1.4,0.3,0.1,0.3,Bench Player
Kris Dunn,9.3,28.5,0.411,4.7,3.7,1.0,0.4,0.4,Role Player
Kris Murray,6.1,23.0,0.332,1.3,3.6,0.9,0.3,0.3,Role Player
Kristaps Porzingis,20.7,26.8,0.625,2.2,7.8,0.8,1.7,0.3,Defensive Specialist
Kyle Anderson,7.8,29.0,0.349,3.9,4.7,1.0,0.7,0.3,Role Player
Kyle Kuzma,20.2,27.0,0.63,3.8,7.4,0.6,0.7,0.3,Role Player
Kyle Lowry,9.8,36.4,0.338,5.1,3.6,1.0,0.4,0.4,Role Player
Kyrie Irving,26.8,30.0,0.652,5.6,4.9,1.2,0.7,0.4,All Star
LaMarcus Aldridge,12.9,36.0,0.519,0.9,5.5,0.3,1.0,0.3,Role Player
LaMelo Ball,22.4,21.0,0.717,8.0,6.1,1.6,0.3,0.4,Role Player
Lamar Stevens,6.2,25.0,0.394,0.6,3.1,0.5,0.4,0.3,Role Player
Lance Stephenson,8.8,31.0,0.538,3.8,2.8,0.6,0.1,0.3,Role Player
Landry Shamet,8.0,25.0,0.425,1.7,1.6,0.5,0.1,0.4,Role Player
Larry Nance Jr.,6.6,29.8,0.282,1.9,5.4,1.0,0.4,0.3,Role Player
Lauri Markkanen,21.2,25.0,0.56,1.7,7.5,0.7,0.5,0.4,Role Player
LeBron James,28.3,38.0,0.739,7.1,7.9,1.2,0.7,0.4,All Star
Leaky Black,2.7,24.0,0.226,0.9,1.8,0.3,0.4,0.4,Bench Player
Leandro Bolmaro,1.4,21.0,0.301,0.6,1.2,0.2,0.0,0.3,Bench Player
Lester Quinones,4.4,23.0,0.439,1.0,1.9,0.2,0.1,0.4,Bench Player
Lindy Waters III,5.6,25.0,0.395,0.8,1.9,0.4,0.3,0.4,Role Player
Lonnie Walker IV,11.2,24.0,0.531,1.5,2.2,0.6,0.3,0.4,Role Player
Lonzo Ball,13.0,24.0,0.392,5.1,5.4,1.8,0.9,0.4,Defensive Specialist
Lou Williams,6.3,35.0,0.498,1.9,1.6,0.5,0.1,0.4,Role Player
Luguentz Dort,13.9,23.0,0.46,1.7,4.1,0.9,0.4,0.4,Role Player
Luka Doncic,31.6,23.0,0.833,8.8,9.0,1.3,0.5,0.4,All Star
Luka Garza,5.4,24.0,0.582,0.5,2.2,0.2,0.1,0.3,Role Player
Luka amani?,4.1,24.0,0.529,0.4,2.4,0.1,0.2,0.2,Bench Player
Luke Kennard,10.3,26.0,0.361,2.1,2.9,0.5,0.1,0.5,Role Player
Luke Kornet,4.6,27.5,0.261,1.0,3.5,0.3,0.8,0.6,Bench Player
Malachi Flynn,5.5,24.4,0.459,1.9,1.7,0.6,0.1,0.3,Role Player
Malaki Branham,9.7,19.5,0.471,2.0,2.4,0.4,0.1,0.3,Role Player
Malcolm Brogdon,16.6,30.0,0.547,5.0,4.4,0.7,0.3,0.4,Role Player
Malik Beasley,12.1,26.0,0.458,1.5,3.4,0.7,0.1,0.4,Role Player
Malik Monk,14.2,24.0,0.553,4.0,3.0,0.7,0.4,0.4,Role Player
Mamadi Diakite,2.6,26.0,0.356,0.4,1.4,0.2,0.4,0.3,Bench Player
MarJon Beauchamp,4.8,22.5,0.394,0.6,2.2,0.4,0.1,0.4,Bench Player
Marcus Morris,9.9,33.2,0.432,1.3,3.5,0.4,0.3,0.4,Role Player
Marcus Sasser,8.3,23.0,0.468,3.3,1.8,0.6,0.2,0.4,Role Player
Marcus Smart,12.7,28.0,0.448,5.5,3.2,1.8,0.3,0.3,Defensive Specialist
Mark Williams,9.0,21.0,0.4,0.4,7.1,0.7,1.0,0.0,Role Player
Markelle Fultz,10.9,24.5,0.469,4.2,3.6,1.2,0.4,0.3,Role Player
Markieff Morris,3.3,33.3,0.374,0.8,1.9,0.3,0.1,0.4,Bench Player
Markus Howard,4.1,22.0,0.668,0.2,0.4,0.3,0.0,0.4,Bench Player
Marquese Chriss,4.5,24.0,0.475,0.5,3.0,0.4,0.4,0.3,Bench Player
Marvin Bagley III,11.3,23.2,0.474,0.9,6.6,0.4,0.6,0.3,Role Player
Mason Plumlee,8.5,32.0,0.333,2.6,7.7,0.6,0.6,0.0,Role Player
Matisse Thybulle,5.1,25.0,0.239,1.0,2.2,1.4,0.7,0.3,Defensive Specialist
Matt Ryan,4.1,25.3,0.373,0.5,0.9,0.1,0.0,0.4,Bench Player
Matt Thomas,4.0,27.0,0.332,0.5,1.3,0.2,0.1,0.4,Bench Player
Matthew Dellavedova,1.5,32.0,0.297,1.3,0.4,0.2,0.0,0.3,Bench Player
Maurice Harkless,4.6,28.0,0.264,0.5,2.4,0.6,0.5,0.3,Bench Player
Max Christie,3.6,19.5,0.283,0.7,2.0,0.2,0.2,0.4,Bench Player
Max Strus,11.4,26.0,0.397,2.5,3.7,0.6,0.3,0.4,Role Player
Maxi Kleber,5.8,31.0,0.253,1.4,4.3,0.4,0.8,0.3,Role Player
Maxwell Lewis,0.3,21.0,0.315,0.2,0.1,0.1,0.0,0.1,Bench Player
McKinley Wright IV,4.2,24.0,0.372,2.1,1.7,0.3,0.2,0.3,Bench Player
Michael Porter Jr.,17.0,24.5,0.494,1.2,6.2,0.6,0.6,0.4,Role Player
Mikal Bridges,19.4,26.0,0.513,3.1,4.4,1.1,0.6,0.4,Role Player
Mike Conley,12.3,35.0,0.4,6.1,2.8,1.2,0.2,0.4,Role Player
Mike Muscala,5.5,31.2,0.363,0.7,3.0,0.2,0.4,0.4,Role Player
Miles Bridges,20.6,24.0,0.549,3.6,7.2,0.9,0.6,0.3,Role Player
Miles McBride,4.7,22.0,0.358,1.3,1.1,0.6,0.1,0.3,Bench Player
Mitchell Robinson,7.2,24.0,0.243,0.7,8.8,1.0,1.6,0.0,Defensive Specialist
Mo Bamba,7.2,24.0,0.387,1.0,5.4,0.4,1.2,0.4,Role Player
Monte Morris,8.2,27.2,0.364,3.5,2.4,0.7,0.2,0.4,Role Player
Montrezl Harrell,11.0,28.2,0.455,1.7,5.1,0.4,0.6,0.1,Role Player
Moritz Wagner,10.1,25.0,0.511,1.4,4.2,0.5,0.2,0.3,Role Player
Moses Brown,3.9,22.8,0.475,0.1,3.5,0.1,0.4,0.0,Bench Player
Moses Moody,5.8,20.0,0.386,0.7,2.1,0.3,0.2,0.4,Role Player
Moussa Diabaté,2.7,21.0,0.316,0.2,2.3,0.3,0.4,0.5,Bench Player
Myles Turner,16.0,26.0,0.494,1.2,7.2,0.6,2.3,0.4,Defensive Specialist
Naji Marshall,7.3,25.0,0.419,1.8,3.3,0.7,0.2,0.3,Role Player
Nassir Little,6.6,22.0,0.361,0.9,3.3,0.4,0.5,0.3,Role Player
Nathan Knight,3.7,24.5,0.474,0.4,1.9,0.2,0.2,0.3,Bench Player
Nathan Mensah,1.3,25.0,0.156,0.4,2.6,0.2,0.6,0.0,Bench Player
Naz Reid,11.1,23.0,0.54,1.1,4.7,0.6,0.9,0.4,Role Player
Neemias Queta,5.5,24.0,0.39,0.7,4.4,0.5,0.8,0.0,Role Player
Nemanja Bjelica,6.1,33.0,0.403,2.2,4.1,0.6,0.4,0.4,Role Player
Nerlens Noel,3.4,27.0,0.166,0.9,5.6,1.2,1.2,0.0,Bench Player
Nic Claxton,11.0,23.0,0.354,1.6,8.2,0.7,1.9,0.1,Defensive Specialist
Nick Richards,7.0,25.0,0.335,0.6,5.4,0.3,0.9,0.3,Role Player
Nick Smith Jr.,5.9,19.0,0.464,1.2,1.4,0.2,0.1,0.4,Role Player
Nickeil Alexander-Walker,8.3,23.8,0.466,2.2,2.2,0.6,0.4,0.4,Role Player
Nicolas Batum,6.3,34.2,0.242,1.9,4.1,0.8,0.6,0.4,Role Player
Nikola Jokic,26.0,27.0,0.675,8.9,12.7,1.4,0.8,0.4,All Star
Nikola Jovic,7.7,20.0,0.382,2.0,4.2,0.5,0.3,0.4,Role Player
Nikola Vucevic,17.7,32.0,0.527,3.2,10.8,0.8,0.8,0.3,Role Player
Noah Clowney,5.8,19.0,0.327,0.8,3.5,0.3,0.7,0.4,Role Player
Noah Vonleh,1.1,27.0,0.209,0.3,2.1,0.1,0.3,0.2,Bench Player
Norman Powell,17.2,28.8,0.525,1.8,3.0,0.8,0.4,0.4,Role Player
OG Anunoby,15.6,25.4,0.432,2.2,4.6,1.5,0.7,0.4,Defensive Specialist
Obi Toppin,8.9,24.0,0.44,1.2,3.5,0.4,0.4,0.4,Role Player
Ochai Agbaji,6.4,22.8,0.339,1.1,2.7,0.5,0.5,0.3,Role Player
Olivier Sarr,7.0,22.0,0.323,0.9,4.2,0.3,0.7,0.4,Role Player
Olivier-Maxence Prosper,3.0,21.0,0.386,0.6,2.0,0.2,0.1,0.3,Bench Player
Omer Yurtseven,4.9,24.0,0.438,0.8,4.8,0.2,0.4,0.1,Bench Player
Onuralp Bitim,3.5,24.0,0.358,0.6,1.4,0.1,0.1,0.3,Bench Player
Onyeka Okongwu,9.4,22.0,0.334,1.1,6.6,0.6,1.2,0.2,Role Player
Orlando Robinson,3.2,22.5,0.296,0.8,3.2,0.3,0.3,0.3,Bench Player
Oshae Brissett,6.3,24.0,0.383,0.9,3.9,0.5,0.2,0.3,Role Player
Otto Porter Jr.,8.2,28.0,0.344,1.5,5.7,1.1,0.5,0.4,Role Player
Ousmane Dieng,4.4,19.5,0.38,1.2,2.1,0.3,0.2,0.3,Bench Player
P.J. Tucker,3.6,37.2,0.175,1.0,3.6,0.6,0.2,0.4,Bench Player
P.J. Washington,12.8,24.4,0.43,2.1,5.4,1.0,0.9,0.3,Role Player
Paolo Banchero,21.3,20.5,0.662,4.6,6.9,0.8,0.6,0.3,Role Player
Pascal Siakam,22.4,28.4,0.608,4.8,7.5,0.9,0.4,0.3,Role Player
Pat Connaughton,7.7,30.0,0.303,1.6,4.0,0.7,0.2,0.4,Role Player
Patrick Baldwin Jr.,4.2,20.5,0.429,0.6,2.2,0.4,0.2,0.4,Bench Player
Patrick Beverley,6.6,34.3,0.294,3.2,3.7,0.8,0.6,0.3,Role Player
Patrick Williams,10.1,21.5,0.364,1.4,4.0,0.9,0.8,0.4,Role Player
Patty Mills,7.2,34.0,0.394,1.6,1.4,0.5,0.1,0.3,Role Player
Paul George,23.6,32.0,0.685,4.8,6.1,1.7,0.4,0.4,All Star
Paul Millsap,3.4,36.0,0.387,1.0,3.6,0.2,0.4,0.2,Bench Player
Paul Reed,4.9,23.0,0.371,0.7,4.1,0.8,0.7,0.3,Bench Player
Payton Pritchard,7.1,25.0,0.414,2.2,2.3,0.4,0.1,0.4,Role Player
Peyton Watson,5.0,20.5,0.379,0.8,2.4,0.3,0.8,0.4,Role Player
Precious Achiuwa,8.2,23.4,0.41,1.2,6.3,0.6,0.7,0.3,Role Player
Quentin Grimes,7.9,22.2,0.348,1.4,2.3,0.7,0.2,0.4,Role Player
R.J. Hampton,6.8,20.8,0.418,1.5,2.2,0.6,0.2,0.4,Role Player
RJ Barrett,20.0,22.4,0.619,3.1,5.4,0.5,0.3,0.3,Role Player
Rajon Rondo,5.5,35.0,0.365,4.6,2.8,0.8,0.1,0.4,Role Player
Raul Neto,5.4,29.5,0.372,2.4,1.4,0.6,0.0,0.3,Role Player
Rayan Rupert,4.0,19.0,0.319,1.6,2.4,0.3,0.1,0.4,Bench Player
Reggie Bullock,6.0,31.0,0.251,1.0,2.9,0.5,0.2,0.4,Role Player
Reggie Jackson,12.0,32.0,0.527,3.9,2.4,0.6,0.2,0.3,Role Player
Richaun Holmes,5.5,29.2,0.35,0.6,4.2,0.2,0.5,0.3,Role Player
Ricky Council IV,5.4,22.0,0.519,0.5,1.4,0.3,0.0,0.4,Role Player
Ricky Rubio,9.2,31.5,0.504,5.0,3.1,1.1,0.2,0.3,Role Player
Robert Covington,6.9,31.8,0.31,1.1,4.4,1.3,1.0,0.4,Defensive Specialist
Robert Williams,9.0,24.5,0.264,1.7,9.0,0.8,1.8,0.0,Defensive Specialist
Robin Lopez,5.0,33.5,0.416,1.0,2.4,0.1,0.4,0.4,Role Player
Rodney Hood,3.2,29.0,0.252,0.8,1.6,0.3,0.1,0.3,Bench Player
Rodney McGruder,5.6,30.5,0.337,0.9,2.2,0.4,0.0,0.4,Role Player
Romeo Langford,5.4,22.3,0.324,0.7,2.5,0.5,0.3,0.3,Role Player
Royce O'Neale,7.9,29.4,0.294,2.9,4.9,0.9,0.5,0.4,Role Player
Rudy Gay,6.6,35.5,0.436,1.0,3.6,0.4,0.3,0.3,Role Player
Rudy Gobert,14.3,30.0,0.373,1.2,13.1,0.7,1.9,0.0,Defensive Specialist
Rui Hachimura,11.7,24.0,0.46,1.0,4.3,0.4,0.4,0.4,Role Player
Russell Westbrook,15.4,34.0,0.626,6.8,5.9,1.0,0.4,0.3,Role Player
Ryan Arcidiacono,0.6,28.5,0.241,0.7,0.6,0.2,0.0,0.2,Bench Player
Saben Lee,5.2,23.0,0.432,2.4,1.9,0.7,0.1,0.3,Role Player
Saddiq Bey,14.0,23.0,0.46,1.8,5.2,0.9,0.2,0.4,Role Player
Sam Hauser,6.0,25.0,0.343,0.8,2.4,0.3,0.2,0.4,Role Player
Sam Merrill,8.0,27.0,0.395,1.8,2.0,0.3,0.1,0.4,Role Player
Sandro Mamukelashvili,4.1,23.0,0.396,0.9,3.0,0.2,0.2,0.3,Bench Player
Santi Aldama,7.9,22.0,0.408,1.4,4.4,0.5,0.6,0.3,Role Player
Sasha Vezenkov,5.4,28.0,0.408,0.5,2.3,0.5,0.2,0.4,Role Player
Scoot Henderson,14.0,19.0,0.623,5.4,3.1,0.8,0.2,0.3,Role Player
Scottie Barnes,16.8,21.0,0.5,4.8,7.4,1.2,1.0,0.3,Defensive Specialist
Scotty Pippen Jr.,12.9,23.0,0.54,4.7,3.2,1.7,0.5,0.4,Defensive Specialist
Semi Ojeleye,3.1,27.0,0.281,0.3,2.7,0.2,0.2,0.3,Bench Player
Serge Ibaka,6.7,32.0,0.421,1.0,4.4,0.2,0.6,0.4,Role Player
Seth Curry,9.7,32.0,0.406,2.2,2.2,0.6,0.1,0.4,Role Player
Shaedon Sharpe,12.9,19.5,0.489,2.0,4.0,0.7,0.4,0.3,Role Player
Shai Gilgeous-Alexander,28.7,24.0,0.753,5.9,5.1,1.6,0.9,0.3,All Star
Shake Milton,6.4,26.2,0.412,2.1,2.0,0.4,0.2,0.3,Role Player
Simone Fontecchio,8.6,27.7,0.407,1.3,3.0,0.5,0.3,0.4,Role Player
Skylar Mays,4.4,25.3,0.431,2.1,1.3,0.5,0.1,0.3,Bench Player
Spencer Dinwiddie,13.7,29.0,0.45,5.4,3.4,0.7,0.3,0.4,Role Player
Stanley Johnson,6.2,25.5,0.319,2.0,3.2,0.7,0.2,0.4,Role Player
Stanley Umude,5.3,24.0,0.365,0.5,2.1,0.3,0.3,0.5,Role Player
Stephen Curry,27.1,34.0,0.728,5.9,5.3,1.0,0.4,0.4,All Star
Sterling Brown,3.3,26.0,0.299,0.7,3.0,0.3,0.1,0.3,Bench Player
Steven Adams,7.8,28.5,0.325,2.8,10.8,0.9,1.0,0.0,Role Player
Svi Mykhailiuk,5.2,25.0,0.417,1.1,1.5,0.4,0.1,0.4,Role Player
T.J. McConnell,9.1,30.0,0.459,5.2,3.0,1.1,0.2,0.4,Role Player
T.J. Warren,8.5,29.0,0.457,1.0,2.8,0.6,0.3,0.3,Role Player
Taj Gibson,3.2,37.0,0.26,0.6,2.7,0.3,0.5,0.3,Bench Player
Talen Horton-Tucker,10.3,22.0,0.54,3.3,2.9,0.8,0.4,0.3,Role Player
Tari Eason,9.6,21.5,0.463,1.2,6.5,1.3,0.8,0.4,Defensive Specialist
Taurean Prince,8.4,28.0,0.372,1.4,2.6,0.6,0.3,0.4,Role Player
Taylor Hendricks,7.3,20.0,0.327,0.8,4.6,0.7,0.8,0.4,Role Player
Terance Mann,9.5,26.0,0.344,2.2,4.0,0.6,0.3,0.4,Role Player
Terence Davis,8.6,24.5,0.567,1.2,2.7,0.8,0.3,0.3,Role Player
Terrence Ross,8.8,30.8,0.426,1.6,2.6,0.5,0.2,0.3,Role Player
Terry Rozier,20.0,28.4,0.586,5.3,4.1,1.1,0.3,0.4,Role Player
Terry Taylor,4.2,23.0,0.345,0.6,2.4,0.2,0.2,0.3,Bench Player
Thaddeus Young,5.4,33.8,0.36,1.9,3.6,0.9,0.2,0.2,Role Player
Thanasis Antetokounmpo,2.0,30.0,0.338,0.5,1.2,0.2,0.2,0.0,Bench Player
Theo Pinson,2.4,27.0,0.325,1.2,1.6,0.2,0.0,0.4,Bench Player
Thomas Bryant,8.8,25.0,0.426,0.7,5.0,0.3,0.6,0.3,Role Player
Théo Maledon,6.9,20.5,0.435,2.8,2.7,0.7,0.2,0.3,Role Player
Tim Hardaway Jr.,14.3,30.0,0.488,1.9,3.5,0.7,0.1,0.4,Role Player
Timothé Luwawu-Cabarrot,4.4,26.0,0.33,0.8,1.6,0.3,0.1,0.4,Bench Player
Tobias Harris,16.4,30.0,0.459,3.0,6.3,0.8,0.6,0.4,Role Player
Tomá Satoransk?,3.8,30.0,0.282,3.5,2.4,0.5,0.1,0.2,Bench Player
Tony Bradley,3.0,24.0,0.302,0.5,3.4,0.2,0.6,0.0,Bench Player
Tony Snell,3.0,30.0,0.223,0.5,1.9,0.2,0.2,0.3,Bench Player
Torrey Craig,6.6,31.6,0.316,1.2,4.3,0.6,0.5,0.4,Role Player
Toumani Camara,7.5,23.0,0.327,1.2,4.9,0.9,0.5,0.3,Role Player
Trae Young,26.8,24.0,0.766,10.2,3.2,1.1,0.1,0.4,All Star
Trayce Jackson-Davis,7.9,23.0,0.388,1.2,5.0,0.4,1.1,0.0,Role Player
Tre Jones,9.6,23.0,0.408,5.4,3.2,1.0,0.1,0.3,Role Player
Tre Mann,9.8,21.2,0.448,3.1,3.3,1.1,0.2,0.4,Role Player
Trendon Watford,7.3,22.0,0.411,1.7,3.7,0.5,0.4,0.3,Role Player
Trent Forrest,2.6,24.0,0.284,2.0,1.5,0.4,0.1,0.1,Bench Player
Trevor Ariza,4.0,36.0,0.257,1.1,3.4,0.5,0.3,0.3,Bench Player
Trey Burke,5.1,29.0,0.564,1.4,0.8,0.3,0.0,0.3,Role Player
Trey Jemison,7.1,24.0,0.311,1.2,5.6,0.5,1.2,0.0,Role Player
Trey Lyles,9.3,26.6,0.437,1.1,4.8,0.4,0.4,0.3,Role Player
Trey Murphy III,11.6,22.0,0.401,1.4,3.6,0.8,0.4,0.4,Role Player
Tristan Thompson,5.3,30.5,0.376,0.7,4.7,0.4,0.4,0.3,Role Player
Troy Brown Jr.,4.8,23.4,0.306,1.1,3.0,0.5,0.1,0.3,Bench Player
Ty Jerome,7.0,24.5,0.422,2.6,1.6,0.6,0.1,0.3,Role Player
TyTy Washington Jr.,4.7,21.0,0.426,1.5,1.5,0.5,0.1,0.2,Bench Player
Tyler Cook,3.4,24.0,0.3,0.2,2.7,0.2,0.2,0.0,Bench Player
Tyler Herro,20.5,23.0,0.614,4.2,5.2,0.7,0.1,0.4,Role Player
Tyrese Haliburton,17.6,21.6,0.498,9.3,4.0,1.6,0.6,0.4,Defensive Specialist
Tyrese Maxey,21.2,22.0,0.549,4.7,3.3,0.8,0.3,0.4,Role Player
Tyus Jones,10.3,26.0,0.405,5.6,2.5,1.0,0.1,0.4,Role Player
Udoka Azubuike,3.5,23.0,0.276,0.3,3.3,0.2,0.4,0.0,Bench Player
Usman Garuba,2.5,19.5,0.235,0.8,3.8,0.5,0.4,0.3,Bench Player
Vasilije Mici?,7.0,30.0,0.432,4.4,1.5,0.5,0.1,0.3,Role Player
Victor Oladipo,10.7,30.0,0.477,3.5,3.0,1.4,0.3,0.3,Role Player
Victor Wembanyama,21.4,20.0,0.764,3.9,10.6,1.2,3.6,0.3,Defensive Specialist
Vince Williams Jr.,10.0,23.0,0.37,3.4,5.6,0.9,0.7,0.4,Role Player
Vit Krejci,4.5,22.0,0.268,1.6,2.2,0.5,0.2,0.3,Bench Player
Vlatko Cancar,5.0,25.0,0.318,1.3,2.1,0.4,0.2,0.4,Role Player
Walker Kessler,8.6,21.5,0.314,0.9,8.0,0.4,2.3,0.3,Defensive Specialist
Wayne Ellington,6.7,34.0,0.321,0.7,1.8,0.5,0.1,0.4,Role Player
Wendell Carter Jr.,13.7,23.0,0.451,2.3,8.7,0.6,0.6,0.4,Role Player
Wendell Moore Jr.,1.0,21.5,0.32,0.4,0.6,0.2,0.1,0.1,Bench Player
Wenyen Gabriel,5.4,24.5,0.362,0.5,4.0,0.3,0.4,0.3,Role Player
Wesley Matthews,3.9,36.0,0.249,0.7,1.9,0.4,0.3,0.3,Bench Player
Will Barton,9.7,31.7,0.456,2.8,3.3,0.6,0.3,0.4,Role Player
Willie Cauley-Stein,1.7,28.0,0.244,0.5,2.0,0.3,0.2,0.5,Bench Player
Willy Hernangómez,8.0,27.5,0.53,1.1,5.8,0.4,0.4,0.3,Role Player
Xavier Tillman Sr.,5.4,24.4,0.346,1.4,3.8,0.9,0.6,0.2,Role Player
Yuta Watanabe,4.2,28.2,0.324,0.5,2.0,0.4,0.3,0.4,Bench Player
