Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%,Cluster_Label
CJ McCollum,21.6,30.6,0.622,5.1,4.4,1.0,0.4,0.4,Role Player
Cade Cunningham,20.0,21.0,0.686,6.6,4.9,1.0,0.6,0.3,Role Player
Caleb Houstan,4.0,20.5,0.282,0.6,1.6,0.2,0.1,0.4,Bench Player
Caleb Martin,9.6,27.0,0.359,1.6,4.3,0.9,0.5,0.4,Role Player
Cam Reddish,9.4,22.8,0.42,1.2,2.2,1.0,0.3,0.3,Role Player
Cam Thomas,13.9,21.0,0.637,1.8,2.4,0.5,0.1,0.3,Role Player
Cam Whitmore,12.3,19.0,0.639,0.7,3.8,0.6,0.4,0.4,Role Player
Cameron Johnson,14.5,26.0,0.452,2.0,4.4,1.1,0.3,0.4,Role Player
Cameron Payne,8.8,28.4,0.51,3.5,2.0,0.6,0.2,0.4,Role Player
Caris LeVert,15.4,27.8,0.542,4.4,3.8,1.0,0.4,0.3,Role Player
Carmelo Anthony,13.3,37.0,0.477,1.0,4.2,0.7,0.8,0.4,Role Player
Cason Wallace,6.8,20.0,0.297,1.5,2.3,0.9,0.5,0.4,Role Player
Cedi Osman,8.7,27.0,0.421,1.7,2.3,0.6,0.2,0.4,Role Player
Charles Bassey,4.4,21.5,0.381,0.8,4.1,0.4,0.8,0.2,Bench Player
Charlie Brown Jr.,1.4,24.0,0.278,0.3,1.5,0.5,0.2,0.1,Bench Player
Chet Holmgren,16.5,21.0,0.5,2.4,7.9,0.6,2.3,0.4,Defensive Specialist
Chimezie Metu,6.3,25.2,0.406,0.8,3.8,0.6,0.3,0.3,Role Player
Chris Boucher,8.4,30.0,0.414,0.4,5.3,0.5,0.7,0.3,Role Player
Chris Chiozza,2.0,26.0,0.307,1.9,1.1,0.4,0.0,0.3,Bench Player
Chris Duarte,8.3,25.0,0.453,1.4,2.8,0.7,0.2,0.3,Role Player
Chris Livingston,1.2,20.0,0.3,0.2,1.0,0.1,0.0,0.2,Bench Player
Chris Paul,12.6,37.0,0.43,8.8,4.2,1.5,0.3,0.4,Role Player
Christian Braun,6.0,21.5,0.333,1.2,3.0,0.5,0.3,0.4,Role Player
Christian Koloko,3.1,22.0,0.242,0.5,2.9,0.4,1.0,0.1,Bench Player
Christian Wood,13.8,27.0,0.531,1.7,7.5,0.5,0.9,0.4,Role Player
Chuma Okeke,5.2,24.0,0.329,1.2,3.4,0.8,0.4,0.3,Role Player
Clint Capela,11.5,28.0,0.38,1.1,11.2,0.7,1.3,0.0,Defensive Specialist
Coby White,13.8,22.0,0.465,3.6,3.5,0.6,0.2,0.4,Role Player
Cody Martin,7.6,27.0,0.324,3.1,4.0,1.2,0.6,0.3,Role Player
Cody Zeller,3.5,30.0,0.345,0.8,3.6,0.2,0.2,0.2,Bench Player
Colby Jones,2.1,21.0,0.449,0.7,1.3,0.2,0.2,0.1,Bench Player
Cole Anthony,13.6,22.0,0.542,4.2,4.7,0.7,0.4,0.3,Role Player
Collin Gillespie,3.6,24.0,0.396,1.1,0.9,0.5,0.0,0.4,Bench Player
Collin Sexton,16.5,24.5,0.617,3.9,2.4,0.7,0.2,0.4,Role Player
Corey Kispert,10.9,23.0,0.371,1.4,2.8,0.5,0.2,0.4,Role Player
Cory Joseph,5.8,31.0,0.332,2.9,1.9,0.4,0.2,0.4,Role Player
Craig Porter Jr.,5.6,23.0,0.463,2.3,2.1,0.4,0.3,0.4,Role Player
D'Angelo Russell,18.0,26.0,0.55,6.4,3.1,1.0,0.4,0.4,Role Player
D.J. Augustin,5.3,34.0,0.32,1.9,1.2,0.3,0.0,0.4,Role Player
Daishen Nix,3.6,19.5,0.391,2.0,1.5,0.6,0.0,0.3,Bench Player
Dalano Banton,7.4,23.4,0.57,1.9,2.6,0.5,0.3,0.3,Role Player
Dalen Terry,2.7,20.5,0.345,1.0,1.4,0.4,0.2,0.2,Bench Player
Damian Jones,4.2,27.0,0.329,0.6,2.9,0.2,0.5,0.3,Bench Player
Damian Lillard,26.8,32.0,0.704,7.2,4.4,0.8,0.3,0.3,All Star
Damion Lee,7.8,29.5,0.37,1.2,3.1,0.5,0.1,0.4,Role Player
Daniel Gafford,10.3,24.4,0.355,1.3,6.8,0.7,1.8,0.0,Defensive Specialist
Daniel Theis,7.4,29.8,0.366,0.9,4.6,0.4,0.8,0.3,Role Player
Danilo Gallinari,8.1,34.3,0.422,1.3,3.3,0.3,0.1,0.3,Role Player
Danny Green,5.9,34.0,0.275,1.0,2.5,1.0,0.6,0.4,Role Player
Dante Exum,7.8,28.0,0.35,2.9,2.7,0.4,0.1,0.5,Role Player
Danuel House Jr.,5.4,28.8,0.314,0.9,2.2,0.4,0.3,0.4,Role Player
Dario ari?,6.9,28.2,0.461,1.5,3.8,0.4,0.1,0.4,Role Player
Darius Bazley,7.1,21.7,0.4,1.1,4.3,0.6,0.9,0.4,Role Player
Darius Garland,20.4,23.0,0.604,7.6,2.9,1.3,0.1,0.4,Role Player
David Duke Jr.,4.2,22.5,0.406,0.8,2.2,0.5,0.2,0.2,Bench Player
David Nwaba,5.1,29.0,0.376,0.8,3.3,0.6,0.4,0.3,Role Player
David Roddy,7.2,21.7,0.413,1.2,3.4,0.4,0.2,0.3,Role Player
Davion Mitchell,7.5,24.0,0.402,2.8,1.6,0.5,0.2,0.3,Role Player
Davis Bertans,6.1,29.8,0.388,0.7,1.8,0.4,0.2,0.4,Role Player
Davon Reed,2.9,26.7,0.322,0.7,1.8,0.4,0.1,0.4,Bench Player
Day'Ron Sharpe,5.9,21.0,0.47,0.9,5.2,0.3,0.6,0.4,Role Player
De'Aaron Fox,24.9,25.0,0.699,5.8,4.2,1.4,0.4,0.3,All Star
De'Andre Hunter,14.8,25.0,0.472,1.4,3.8,0.6,0.3,0.4,Role Player
De'Anthony Melton,10.7,24.0,0.434,2.8,4.1,1.5,0.5,0.4,Defensive Specialist
DeAndre Jordan,4.4,33.8,0.314,0.6,5.1,0.3,0.6,0.2,Bench Player
DeAndre' Bembry,5.4,27.0,0.267,1.2,3.0,1.0,0.4,0.4,Role Player
DeMar DeRozan,25.5,33.0,0.646,5.1,4.7,1.0,0.5,0.3,All Star
DeMarcus Cousins,9.0,31.0,0.687,1.6,5.6,0.6,0.4,0.3,Role Player
Dean Wade,5.1,26.0,0.241,0.9,3.4,0.6,0.4,0.4,Role Player
Deandre Ayton,17.3,24.0,0.507,1.6,10.4,0.8,0.8,0.3,Role Player
Dejounte Murray,21.4,26.0,0.624,7.2,6.3,1.6,0.3,0.3,Role Player
Delon Wright,5.1,30.2,0.282,2.8,2.5,1.3,0.2,0.4,Role Player
Deni Avdija,10.8,22.0,0.415,2.9,6.3,0.8,0.5,0.3,Role Player
Dennis Schröder,13.8,29.2,0.484,5.2,3.1,0.8,0.2,0.4,Role Player
